datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:09:00Z,2.01,215.0,12.01,12.01,215.0,63.0,80.0
2018-11-08T01:09:00Z,0.0,,5.99,5.99,255.0,61.0,86.0
2018-11-08T02:09:00Z,1.01,234.0,4.0,4.0,302.0,57.0,92.0
2018-11-08T03:09:00Z,0.0,,4.0,4.0,263.0,59.0,88.0
2018-11-08T04:09:00Z,0.0,,1.01,1.01,345.0,60.01,87.0
2018-11-08T05:09:00Z,0.0,,2.01,2.01,78.0,60.01,86.0
2018-11-08T06:09:00Z,1.01,113.0,4.99,4.99,29.0,60.01,88.0
2018-11-08T07:09:00Z,2.01,255.0,4.0,4.0,268.0,57.0,90.0
2018-11-08T08:09:00Z,3.0,260.0,5.99,5.99,258.0,54.0,93.0
2018-11-08T09:09:00Z,2.01,275.0,5.99,5.99,262.0,52.0,96.0
2018-11-08T10:09:00Z,1.01,255.0,4.99,4.99,251.0,51.01,96.0
2018-11-08T11:09:00Z,3.0,253.0,4.0,4.0,254.0,52.0,99.0
2018-11-08T12:09:00Z,2.01,257.0,4.0,4.0,254.0,52.0,99.0
2018-11-08T13:09:00Z,0.0,,3.0,3.0,248.0,54.0,100.0
2018-11-08T14:09:00Z,2.01,93.0,4.99,4.99,271.0,55.0,99.0
2018-11-08T15:09:00Z,0.0,,3.0,3.0,92.0,55.0,99.0
2018-11-08T16:09:00Z,3.0,293.0,5.99,5.99,311.0,57.0,99.0
2018-11-08T17:09:00Z,3.0,53.0,4.99,4.99,302.0,59.0,92.0
2018-11-08T18:09:00Z,1.01,139.0,4.99,4.99,72.0,64.99,76.0
2018-11-08T19:09:00Z,2.01,89.0,5.99,5.99,96.0,71.01,56.0
2018-11-08T20:09:00Z,3.0,33.0,7.0,7.0,18.0,75.0,36.0
2018-11-08T21:09:00Z,3.0,179.0,7.0,7.0,147.0,79.0,26.0
2018-11-08T22:09:00Z,5.99,237.0,11.01,11.01,212.0,78.01,39.0
2018-11-08T23:09:00Z,3.0,230.0,8.01,8.01,209.0,77.0,36.0
2018-11-09T00:09:00Z,0.0,,8.99,8.99,253.0,71.01,45.0
2018-11-09T01:09:00Z,4.99,264.0,8.01,8.01,259.0,66.0,39.0
2018-11-09T02:09:00Z,2.01,142.0,8.01,8.01,60.0,68.0,16.0
2018-11-09T03:09:00Z,4.99,44.0,12.01,12.01,51.0,71.01,6.0
2018-11-09T04:09:00Z,2.01,130.0,15.99,15.99,51.0,68.0,6.0
2018-11-09T05:09:00Z,1.01,325.0,11.01,11.01,44.0,63.0,11.0
2018-11-09T06:09:00Z,3.0,128.0,11.01,11.01,77.0,66.0,9.0
2018-11-09T07:09:00Z,2.01,207.0,7.0,7.0,154.0,57.99,15.0
2018-11-09T08:09:00Z,5.99,61.0,18.01,18.01,25.0,66.0,9.0
2018-11-09T09:09:00Z,4.0,121.0,17.0,17.0,35.0,63.0,11.0
2018-11-09T10:09:00Z,4.0,95.0,14.99,14.99,53.0,64.99,6.0
2018-11-09T11:09:00Z,3.0,251.0,13.0,13.0,67.0,57.99,9.0
2018-11-09T12:09:00Z,1.01,268.0,7.0,7.0,227.0,55.0,10.0
2018-11-09T13:09:00Z,1.01,244.0,5.99,5.99,148.0,55.99,10.0
2018-11-09T14:09:00Z,4.0,255.0,5.99,5.99,226.0,53.01,12.0
2018-11-09T15:09:00Z,2.01,212.0,5.99,5.99,260.0,57.99,10.0
2018-11-09T16:09:00Z,2.01,158.0,5.99,5.99,147.0,68.0,11.0
2018-11-09T17:09:00Z,5.99,38.0,14.0,14.0,51.0,75.99,3.0
2018-11-09T18:09:00Z,3.0,95.0,17.0,17.0,26.0,79.0,4.0
2018-11-09T19:09:00Z,2.01,171.0,7.0,7.0,95.0,82.0,3.0
2018-11-09T20:09:00Z,8.99,220.0,15.99,15.99,222.0,78.01,10.0
2018-11-09T21:09:00Z,7.0,231.0,18.01,18.01,244.0,79.0,12.0
2018-11-09T22:09:00Z,8.01,234.0,14.99,14.99,235.0,78.01,10.0
2018-11-09T23:09:00Z,4.99,252.0,11.01,11.01,245.0,78.01,10.0
2018-11-10T00:09:00Z,4.0,279.0,10.0,10.0,251.0,70.0,14.0
2018-11-10T01:09:00Z,4.99,270.0,10.0,10.0,239.0,68.0,16.0
2018-11-10T02:09:00Z,0.0,,7.0,7.0,297.0,60.01,22.0
2018-11-10T03:09:00Z,3.0,254.0,7.0,7.0,246.0,55.99,20.0
2018-11-10T04:09:00Z,1.01,256.0,8.01,8.01,258.0,53.01,17.0
2018-11-10T05:09:00Z,1.01,234.0,8.01,8.01,260.0,51.01,20.0
2018-11-10T06:09:00Z,3.0,274.0,5.99,5.99,240.0,50.0,22.0
2018-11-10T07:09:00Z,2.01,265.0,5.99,5.99,264.0,46.99,24.0
2018-11-10T08:09:00Z,1.01,248.0,4.0,4.0,251.0,46.0,23.0
2018-11-10T09:09:00Z,3.0,259.0,4.99,4.99,246.0,46.0,22.0
2018-11-10T10:09:00Z,0.0,,4.99,4.99,254.0,45.0,24.0
2018-11-10T11:09:00Z,0.0,,3.0,3.0,240.0,44.01,26.0
2018-11-10T12:09:00Z,4.0,256.0,4.99,4.99,261.0,44.01,27.0
2018-11-10T13:09:00Z,3.0,259.0,5.99,5.99,244.0,43.0,28.0
2018-11-10T14:09:00Z,3.0,245.0,5.99,5.99,255.0,43.0,24.0
2018-11-10T15:09:00Z,1.01,265.0,3.0,3.0,241.0,45.0,25.0
2018-11-10T16:09:00Z,0.0,,4.0,4.0,104.0,54.0,22.0
2018-11-10T17:09:00Z,0.0,,3.0,3.0,122.0,68.0,11.0
2018-11-10T18:09:00Z,1.01,127.0,4.0,4.0,62.0,73.0,11.0
2018-11-10T19:09:00Z,4.99,252.0,11.01,11.01,329.0,78.01,9.0
2018-11-10T20:09:00Z,8.99,251.0,17.0,17.0,278.0,75.99,9.0
2018-11-10T21:09:00Z,11.01,226.0,22.01,22.01,201.0,75.0,11.0
2018-11-10T22:09:00Z,10.0,227.0,18.01,18.01,238.0,73.99,11.0
2018-11-10T23:09:00Z,3.0,226.0,14.99,14.99,244.0,73.99,12.0
2018-11-11T00:09:00Z,4.99,248.0,14.99,14.99,218.0,68.0,19.0
2018-11-11T01:09:00Z,3.0,316.0,13.0,13.0,231.0,64.99,22.0
2018-11-11T02:09:00Z,4.0,258.0,5.99,5.99,258.0,57.99,28.0
2018-11-11T03:09:00Z,4.0,249.0,7.0,7.0,257.0,54.0,30.0
2018-11-11T04:09:00Z,2.01,257.0,5.99,5.99,260.0,52.0,33.0
2018-11-11T05:09:00Z,1.01,244.0,4.0,4.0,247.0,48.99,39.0
2018-11-11T06:09:00Z,1.01,235.0,4.99,4.99,256.0,48.99,36.0
2018-11-11T07:09:00Z,1.01,257.0,4.0,4.0,249.0,46.99,42.0
2018-11-11T08:09:00Z,2.01,279.0,4.0,4.0,250.0,45.0,41.0
2018-11-11T09:09:00Z,0.0,,3.0,3.0,237.0,44.01,43.0
2018-11-11T10:09:00Z,1.01,260.0,4.0,4.0,240.0,44.01,42.0
2018-11-11T11:09:00Z,0.0,,4.0,4.0,247.0,43.0,43.0
2018-11-11T12:09:00Z,0.0,,3.0,3.0,247.0,42.01,46.0
2018-11-11T13:09:00Z,0.0,,4.0,4.0,245.0,41.0,44.0
2018-11-11T14:09:00Z,0.0,,3.0,3.0,254.0,41.0,41.0
2018-11-11T15:09:00Z,1.01,132.0,4.0,4.0,240.0,42.01,37.0
2018-11-11T16:09:00Z,0.0,,3.0,3.0,248.0,51.01,35.0
2018-11-11T17:09:00Z,0.0,,3.0,3.0,107.0,61.0,21.0
2018-11-11T18:09:00Z,1.01,122.0,3.0,3.0,109.0,69.01,17.0
2018-11-11T19:09:00Z,1.01,96.0,4.99,4.99,83.0,75.99,12.0
2018-11-11T20:09:00Z,2.01,135.0,7.0,7.0,93.0,80.01,7.0
2018-11-11T21:09:00Z,5.99,194.0,12.01,12.01,218.0,79.0,13.0
2018-11-11T22:09:00Z,2.01,214.0,11.01,11.01,223.0,79.0,11.0
2018-11-11T23:09:00Z,3.0,158.0,10.0,10.0,147.0,79.0,6.0
2018-11-12T00:09:00Z,3.0,242.0,8.01,8.01,160.0,68.0,12.0
2018-11-12T01:09:00Z,4.99,254.0,7.0,7.0,261.0,64.0,23.0
2018-11-12T02:09:00Z,5.99,262.0,8.99,8.99,265.0,61.0,21.0
2018-11-12T03:09:00Z,4.0,264.0,8.01,8.01,258.0,57.99,15.0
2018-11-12T04:09:00Z,3.0,250.0,8.01,8.01,260.0,53.01,15.0
2018-11-12T05:09:00Z,2.01,268.0,7.0,7.0,256.0,51.01,16.0
2018-11-12T06:09:00Z,1.01,224.0,5.99,5.99,247.0,48.0,18.0
2018-11-12T07:09:00Z,3.0,269.0,4.99,4.99,270.0,46.99,19.0
2018-11-12T08:09:00Z,3.0,261.0,5.99,5.99,265.0,46.0,20.0
