datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:55:00Z,8.99,280.0,13.0,13.0,281.0,63.0,75.0
2018-11-08T01:55:00Z,5.99,273.0,14.0,14.0,280.0,60.01,83.0
2018-11-08T02:55:00Z,4.99,277.0,10.0,10.0,270.0,57.99,91.0
2018-11-08T03:55:00Z,2.01,270.0,5.99,5.99,300.0,55.99,94.0
2018-11-08T04:55:00Z,0.0,,4.99,4.99,289.0,55.0,98.0
2018-11-08T05:55:00Z,1.01,99.0,3.0,3.0,79.0,54.0,100.0
2018-11-08T06:55:00Z,2.01,111.0,4.0,4.0,75.0,53.01,100.0
2018-11-08T07:55:00Z,1.01,349.0,4.99,4.99,25.0,52.0,100.0
2018-11-08T08:55:00Z,1.01,326.0,4.0,4.0,348.0,52.0,100.0
2018-11-08T09:55:00Z,0.0,,3.0,3.0,72.0,51.01,100.0
2018-11-08T10:55:00Z,1.01,19.0,4.0,4.0,90.0,50.0,100.0
2018-11-08T11:55:00Z,3.0,318.0,4.0,4.0,291.0,48.0,100.0
2018-11-08T12:55:00Z,2.01,15.0,4.0,4.0,90.0,48.99,100.0
2018-11-08T13:55:00Z,3.0,16.0,7.0,7.0,76.0,48.99,88.0
2018-11-08T14:55:00Z,4.99,70.0,7.0,7.0,59.0,48.99,78.0
2018-11-08T15:55:00Z,1.01,74.0,4.0,4.0,121.0,55.99,63.0
2018-11-08T16:55:00Z,17.0,46.0,28.01,28.01,51.0,69.01,15.0
2018-11-08T17:55:00Z,15.99,37.0,35.99,35.99,48.0,70.0,12.0
2018-11-08T18:55:00Z,21.0,47.0,35.99,35.99,35.0,71.01,10.0
2018-11-08T19:55:00Z,23.0,38.0,41.0,41.0,41.0,72.0,8.0
2018-11-08T20:55:00Z,18.01,55.0,37.0,37.0,45.0,73.99,7.0
2018-11-08T21:55:00Z,18.01,52.0,38.01,38.01,37.0,73.99,8.0
2018-11-08T22:55:00Z,17.0,56.0,35.99,35.99,48.0,73.99,7.0
2018-11-08T23:55:00Z,18.01,48.0,32.99,32.99,62.0,73.0,8.0
2018-11-09T00:55:00Z,14.0,55.0,32.01,32.01,54.0,70.0,8.0
2018-11-09T01:55:00Z,10.0,61.0,34.0,34.0,45.0,66.99,8.0
2018-11-09T02:55:00Z,10.0,55.0,24.99,24.99,47.0,66.0,7.0
2018-11-09T03:55:00Z,8.99,56.0,24.0,24.0,4.0,64.99,7.0
2018-11-09T04:55:00Z,12.01,56.0,31.0,31.0,54.0,64.99,6.0
2018-11-09T05:55:00Z,14.99,46.0,30.0,30.0,55.0,64.99,6.0
2018-11-09T06:55:00Z,11.01,58.0,24.0,24.0,48.0,63.0,7.0
2018-11-09T07:55:00Z,8.99,51.0,24.0,24.0,60.0,62.01,7.0
2018-11-09T08:55:00Z,12.01,41.0,23.0,23.0,63.0,62.01,7.0
2018-11-09T09:55:00Z,14.0,35.0,27.0,27.0,49.0,62.01,7.0
2018-11-09T10:55:00Z,10.0,28.0,21.0,21.0,57.0,60.01,8.0
2018-11-09T11:55:00Z,8.01,19.0,18.99,18.99,44.0,59.0,9.0
2018-11-09T12:55:00Z,13.0,25.0,24.0,24.0,20.0,59.0,9.0
2018-11-09T13:55:00Z,11.01,11.0,24.0,24.0,37.0,59.0,9.0
2018-11-09T14:55:00Z,8.01,9.0,21.0,21.0,350.0,57.99,9.0
2018-11-09T15:55:00Z,12.01,27.0,22.01,22.01,45.0,61.0,8.0
2018-11-09T16:55:00Z,14.99,31.0,25.99,25.99,48.0,64.0,8.0
2018-11-09T17:55:00Z,18.99,41.0,37.0,37.0,35.0,66.0,7.0
2018-11-09T18:55:00Z,22.01,41.0,37.0,37.0,41.0,68.0,5.0
2018-11-09T19:55:00Z,20.0,35.0,41.0,41.0,38.0,69.01,5.0
2018-11-09T20:55:00Z,20.0,39.0,34.99,34.99,36.0,71.01,4.0
2018-11-09T21:55:00Z,18.01,35.0,32.01,32.01,46.0,72.0,4.0
2018-11-09T22:55:00Z,15.99,41.0,28.99,28.99,34.0,72.0,4.0
2018-11-09T23:55:00Z,14.99,46.0,30.0,30.0,39.0,72.0,4.0
2018-11-10T00:55:00Z,14.99,43.0,25.99,25.99,29.0,69.01,4.0
2018-11-10T01:55:00Z,14.0,41.0,22.01,22.01,49.0,66.99,5.0
2018-11-10T02:55:00Z,8.99,20.0,18.01,18.01,36.0,66.0,5.0
2018-11-10T03:55:00Z,5.99,6.0,17.0,17.0,332.0,64.99,5.0
2018-11-10T04:55:00Z,5.99,48.0,20.0,20.0,0.0,64.0,5.0
2018-11-10T05:55:00Z,5.99,20.0,13.0,13.0,33.0,62.01,6.0
2018-11-10T06:55:00Z,4.0,73.0,13.0,13.0,29.0,59.0,8.0
2018-11-10T07:55:00Z,4.0,72.0,8.99,8.99,47.0,55.99,8.0
2018-11-10T08:55:00Z,3.0,80.0,5.99,5.99,36.0,53.01,12.0
2018-11-10T09:55:00Z,1.01,144.0,7.0,7.0,36.0,51.01,13.0
2018-11-10T10:55:00Z,4.0,86.0,7.0,7.0,45.0,51.01,11.0
2018-11-10T11:55:00Z,1.01,280.0,5.99,5.99,123.0,48.0,17.0
2018-11-10T12:55:00Z,3.0,39.0,7.0,7.0,73.0,48.99,14.0
