datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:55:00Z,4.0,262.0,10.0,10.0,256.0,63.0,79.0
2018-11-08T01:55:00Z,3.0,344.0,4.99,4.99,282.0,61.0,81.0
2018-11-08T02:55:00Z,7.0,3.0,8.99,8.99,2.0,57.99,82.0
2018-11-08T03:55:00Z,8.99,359.0,12.01,12.01,357.0,57.0,82.0
2018-11-08T04:55:00Z,8.01,4.0,11.01,11.01,354.0,57.0,84.0
2018-11-08T05:55:00Z,7.0,7.0,11.01,11.01,356.0,57.0,85.0
2018-11-08T06:55:00Z,7.0,3.0,12.01,12.01,348.0,55.99,86.0
2018-11-08T07:55:00Z,4.99,21.0,8.99,8.99,356.0,55.0,88.0
2018-11-08T08:55:00Z,4.99,22.0,10.0,10.0,346.0,55.99,88.0
2018-11-08T09:55:00Z,5.99,7.0,12.01,12.01,353.0,57.99,85.0
2018-11-08T10:55:00Z,4.99,19.0,12.01,12.01,357.0,59.0,85.0
2018-11-08T11:55:00Z,4.99,55.0,11.01,11.01,8.0,60.01,84.0
2018-11-08T12:55:00Z,4.0,19.0,11.01,11.01,29.0,61.0,83.0
2018-11-08T13:55:00Z,4.99,23.0,10.0,10.0,345.0,61.0,80.0
2018-11-08T14:55:00Z,7.0,353.0,11.01,11.01,344.0,61.0,78.0
2018-11-08T15:55:00Z,5.99,4.0,11.01,11.01,5.0,64.99,69.0
2018-11-08T16:55:00Z,3.0,117.0,8.01,8.01,16.0,68.0,65.0
2018-11-08T17:55:00Z,4.0,130.0,7.0,7.0,116.0,68.0,64.0
2018-11-08T18:55:00Z,4.0,169.0,7.0,7.0,125.0,68.0,65.0
2018-11-08T19:55:00Z,4.0,215.0,7.0,7.0,190.0,69.01,65.0
2018-11-08T20:55:00Z,5.99,221.0,8.99,8.99,226.0,68.0,68.0
2018-11-08T21:55:00Z,7.0,235.0,12.01,12.01,235.0,69.01,70.0
2018-11-08T22:55:00Z,7.0,223.0,12.01,12.01,235.0,69.01,73.0
2018-11-08T23:55:00Z,5.99,118.0,18.99,18.99,43.0,73.99,34.0
2018-11-09T00:55:00Z,13.0,48.0,31.0,31.0,29.0,77.0,7.0
2018-11-09T01:55:00Z,14.0,53.0,35.99,35.99,27.0,75.0,6.0
2018-11-09T02:55:00Z,14.99,47.0,35.99,35.99,54.0,73.99,4.0
2018-11-09T03:55:00Z,14.99,42.0,37.0,37.0,33.0,73.0,5.0
2018-11-09T04:55:00Z,15.99,52.0,37.0,37.0,47.0,73.0,5.0
2018-11-09T05:55:00Z,13.0,52.0,37.0,37.0,40.0,72.0,5.0
2018-11-09T06:55:00Z,15.99,54.0,35.99,35.99,44.0,72.0,5.0
2018-11-09T07:55:00Z,14.99,51.0,34.99,34.99,37.0,72.0,5.0
2018-11-09T08:55:00Z,14.99,54.0,34.99,34.99,44.0,71.01,5.0
2018-11-09T09:55:00Z,14.0,53.0,38.99,38.99,40.0,71.01,5.0
2018-11-09T10:55:00Z,15.99,54.0,32.01,32.01,36.0,71.01,5.0
2018-11-09T11:55:00Z,15.99,48.0,37.0,37.0,46.0,71.01,5.0
2018-11-09T12:55:00Z,13.0,45.0,34.0,34.0,25.0,70.0,5.0
2018-11-09T13:55:00Z,13.0,47.0,30.0,30.0,43.0,69.01,5.0
2018-11-09T14:55:00Z,14.0,47.0,28.01,28.01,49.0,69.01,5.0
2018-11-09T15:55:00Z,14.0,46.0,28.99,28.99,30.0,69.01,5.0
2018-11-09T16:55:00Z,8.01,46.0,28.01,28.01,36.0,71.01,5.0
2018-11-09T17:55:00Z,7.0,45.0,23.0,23.0,42.0,73.0,4.0
2018-11-09T18:55:00Z,8.99,36.0,24.99,24.99,36.0,75.0,3.0
2018-11-09T19:55:00Z,7.0,351.0,22.01,22.01,47.0,75.99,3.0
2018-11-09T20:55:00Z,4.99,228.0,17.0,17.0,4.0,75.99,5.0
2018-11-09T21:55:00Z,5.99,207.0,18.01,18.01,356.0,72.0,34.0
