datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:56:00Z,8.99,180.0,18.01,18.01,184.0,61.0,79.0
2018-11-08T01:56:00Z,3.0,181.0,15.99,15.99,209.0,59.0,86.0
2018-11-08T02:56:00Z,1.01,117.0,3.0,3.0,117.0,55.0,93.0
2018-11-08T03:56:00Z,0.0,,2.01,2.01,216.0,53.01,95.0
2018-11-08T04:56:00Z,0.0,,2.01,2.01,245.0,51.01,98.0
2018-11-08T05:56:00Z,0.0,,2.01,2.01,125.0,50.0,100.0
2018-11-08T06:56:00Z,0.0,,2.01,2.01,78.0,48.99,100.0
2018-11-08T07:56:00Z,0.0,,3.0,3.0,67.0,46.99,100.0
2018-11-08T08:56:00Z,0.0,,2.01,2.01,240.0,45.0,100.0
2018-11-08T09:56:00Z,0.0,,2.01,2.01,264.0,45.0,100.0
2018-11-08T10:56:00Z,0.0,,3.0,3.0,161.0,46.0,100.0
2018-11-08T11:56:00Z,0.0,,3.0,3.0,49.0,46.99,100.0
2018-11-08T12:56:00Z,0.0,,2.01,2.01,47.0,48.99,100.0
2018-11-08T13:56:00Z,1.01,258.0,4.99,4.99,42.0,48.99,98.0
2018-11-08T14:56:00Z,1.01,159.0,4.0,4.0,98.0,50.0,98.0
2018-11-08T15:56:00Z,0.0,,3.0,3.0,95.0,53.01,98.0
2018-11-08T16:56:00Z,2.01,160.0,7.0,7.0,187.0,63.0,74.0
2018-11-08T17:56:00Z,3.0,214.0,5.99,5.99,187.0,70.0,45.0
2018-11-08T18:56:00Z,4.0,84.0,15.99,15.99,4.0,75.99,23.0
2018-11-08T19:56:00Z,10.0,49.0,22.01,22.01,27.0,79.0,9.0
2018-11-08T20:56:00Z,13.0,30.0,28.01,28.01,24.0,79.0,8.0
2018-11-08T21:56:00Z,7.0,33.0,27.0,27.0,79.0,80.01,8.0
2018-11-08T22:56:00Z,8.01,33.0,30.0,30.0,32.0,79.0,8.0
2018-11-08T23:56:00Z,8.01,32.0,30.0,30.0,0.0,78.01,8.0
2018-11-09T00:56:00Z,7.0,39.0,23.0,23.0,29.0,73.0,7.0
2018-11-09T01:56:00Z,5.99,33.0,21.0,21.0,88.0,71.01,7.0
2018-11-09T02:56:00Z,4.99,10.0,18.01,18.01,4.0,69.01,6.0
2018-11-09T03:56:00Z,5.99,349.0,18.99,18.99,20.0,68.0,7.0
2018-11-09T04:56:00Z,7.0,317.0,15.99,15.99,2.0,68.0,7.0
2018-11-09T05:56:00Z,7.0,350.0,15.99,15.99,350.0,66.99,7.0
2018-11-09T06:56:00Z,4.0,9.0,17.0,17.0,5.0,66.0,7.0
2018-11-09T07:56:00Z,4.99,319.0,21.0,21.0,54.0,66.0,7.0
2018-11-09T08:56:00Z,5.99,323.0,14.0,14.0,32.0,64.99,7.0
2018-11-09T09:56:00Z,5.99,315.0,14.0,14.0,326.0,64.0,8.0
2018-11-09T10:56:00Z,4.0,313.0,11.01,11.01,269.0,64.0,8.0
2018-11-09T11:56:00Z,5.99,310.0,14.0,14.0,315.0,64.0,8.0
2018-11-09T12:56:00Z,4.0,342.0,12.01,12.01,17.0,63.0,8.0
2018-11-09T13:56:00Z,5.99,302.0,11.01,11.01,278.0,64.0,8.0
2018-11-09T14:56:00Z,8.01,300.0,14.0,14.0,310.0,63.0,8.0
2018-11-09T15:56:00Z,3.0,80.0,14.0,14.0,55.0,66.99,8.0
2018-11-09T16:56:00Z,11.01,47.0,24.0,24.0,52.0,71.01,6.0
2018-11-09T17:56:00Z,14.0,69.0,32.99,32.99,69.0,73.0,6.0
2018-11-09T18:56:00Z,13.0,49.0,34.0,34.0,54.0,75.0,5.0
2018-11-09T19:56:00Z,14.0,59.0,34.0,34.0,56.0,75.99,5.0
2018-11-09T20:56:00Z,13.0,61.0,32.01,32.01,65.0,77.0,4.0
2018-11-09T21:56:00Z,13.0,57.0,30.0,30.0,355.0,77.0,4.0
2018-11-09T22:56:00Z,10.0,61.0,25.99,25.99,20.0,73.99,5.0
2018-11-09T23:56:00Z,8.99,61.0,27.0,27.0,45.0,73.0,5.0
2018-11-10T00:56:00Z,8.99,52.0,18.01,18.01,41.0,71.01,5.0
2018-11-10T01:56:00Z,3.0,60.0,14.99,14.99,66.0,68.0,5.0
2018-11-10T02:56:00Z,2.01,283.0,5.99,5.99,66.0,64.99,6.0
2018-11-10T03:56:00Z,2.01,260.0,4.99,4.99,111.0,63.0,7.0
2018-11-10T04:56:00Z,1.01,77.0,5.99,5.99,287.0,62.01,7.0
2018-11-10T05:56:00Z,1.01,293.0,7.0,7.0,57.0,60.01,8.0
2018-11-10T06:56:00Z,4.0,81.0,7.0,7.0,91.0,55.0,9.0
2018-11-10T07:56:00Z,2.01,70.0,4.0,4.0,47.0,52.0,12.0
2018-11-10T08:56:00Z,2.01,18.0,4.0,4.0,18.0,48.99,13.0
2018-11-10T09:56:00Z,0.0,,3.0,3.0,26.0,48.0,15.0
