datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:56:00Z,4.99,266.0,10.0,10.0,224.0,55.99,94.0
2018-11-08T01:56:00Z,0.0,,4.99,4.99,291.0,55.0,98.0
2018-11-08T02:56:00Z,1.01,56.0,2.01,2.01,27.0,55.99,97.0
2018-11-08T03:56:00Z,1.01,38.0,3.0,3.0,261.0,55.0,99.0
2018-11-08T04:56:00Z,0.0,,2.01,2.01,28.0,55.0,100.0
2018-11-08T05:56:00Z,2.01,10.0,4.0,4.0,347.0,55.99,99.0
2018-11-08T06:56:00Z,1.01,42.0,3.0,3.0,138.0,55.99,91.0
2018-11-08T07:56:00Z,2.01,45.0,3.0,3.0,342.0,57.99,85.0
2018-11-08T08:56:00Z,1.01,96.0,3.0,3.0,36.0,57.0,88.0
2018-11-08T09:56:00Z,4.0,164.0,4.99,4.99,165.0,55.0,100.0
2018-11-08T10:56:00Z,0.0,,4.0,4.0,143.0,55.0,100.0
2018-11-08T11:56:00Z,0.0,,4.0,4.0,6.0,55.0,100.0
2018-11-08T12:56:00Z,2.01,17.0,4.99,4.99,26.0,54.0,100.0
2018-11-08T13:56:00Z,3.0,29.0,5.99,5.99,37.0,53.01,100.0
2018-11-08T14:56:00Z,4.0,27.0,5.99,5.99,28.0,53.01,100.0
2018-11-08T15:56:00Z,3.0,131.0,8.99,8.99,35.0,59.0,83.0
2018-11-08T16:56:00Z,3.0,136.0,10.0,10.0,166.0,62.01,70.0
2018-11-08T17:56:00Z,5.99,151.0,12.01,12.01,142.0,63.0,71.0
2018-11-08T18:56:00Z,4.0,144.0,10.0,10.0,144.0,64.99,69.0
2018-11-08T19:56:00Z,4.99,117.0,15.99,15.99,174.0,68.0,52.0
2018-11-08T20:56:00Z,5.99,87.0,21.0,21.0,41.0,69.01,47.0
2018-11-08T21:56:00Z,21.0,37.0,31.0,31.0,45.0,73.0,12.0
2018-11-08T22:56:00Z,24.0,29.0,35.99,35.99,29.0,73.0,8.0
2018-11-08T23:56:00Z,27.0,25.0,42.01,42.01,34.0,72.0,8.0
2018-11-09T00:56:00Z,32.01,17.0,48.0,48.0,26.0,69.01,7.0
2018-11-09T01:56:00Z,34.99,21.0,53.02,53.02,34.0,68.0,6.0
2018-11-09T02:56:00Z,35.99,21.0,51.0,51.0,13.0,66.99,5.0
2018-11-09T03:56:00Z,38.99,24.0,54.0,54.0,33.0,66.0,6.0
