datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:56:00Z,5.99,185.0,13.0,13.0,180.0,61.0,85.0
2018-11-08T01:56:00Z,8.01,192.0,14.0,14.0,180.0,57.99,95.0
2018-11-08T02:56:00Z,4.0,180.0,8.99,8.99,187.0,55.99,100.0
2018-11-08T03:56:00Z,7.0,187.0,10.0,10.0,196.0,55.0,100.0
2018-11-08T04:56:00Z,4.99,196.0,10.0,10.0,189.0,55.99,100.0
2018-11-08T05:56:00Z,4.99,190.0,8.01,8.01,195.0,55.99,100.0
2018-11-08T06:56:00Z,4.99,306.0,11.01,11.01,285.0,60.01,44.0
2018-11-08T07:56:00Z,1.01,183.0,12.01,12.01,317.0,60.01,39.0
2018-11-08T08:56:00Z,4.99,309.0,11.01,11.01,331.0,61.0,33.0
2018-11-08T09:56:00Z,3.0,194.0,13.0,13.0,306.0,55.99,100.0
2018-11-08T10:56:00Z,3.0,311.0,7.0,7.0,305.0,57.0,48.0
2018-11-08T11:56:00Z,1.01,324.0,4.99,4.99,252.0,53.01,85.0
2018-11-08T12:56:00Z,3.0,323.0,14.0,14.0,290.0,57.99,36.0
2018-11-08T13:56:00Z,1.01,68.0,12.01,12.01,329.0,54.0,43.0
2018-11-08T14:56:00Z,7.0,350.0,14.99,14.99,0.0,57.99,38.0
2018-11-08T15:56:00Z,7.0,348.0,18.01,18.01,337.0,62.01,29.0
2018-11-08T16:56:00Z,8.99,10.0,24.0,24.0,27.0,64.99,23.0
2018-11-08T17:56:00Z,18.01,11.0,38.01,38.01,24.0,66.99,13.0
2018-11-08T18:56:00Z,24.99,11.0,44.0,44.0,15.0,66.99,9.0
2018-11-08T19:56:00Z,32.01,10.0,53.02,53.02,23.0,68.0,9.0
2018-11-08T20:56:00Z,28.01,12.0,50.0,50.0,35.0,68.0,9.0
2018-11-08T21:56:00Z,28.99,12.0,52.01,52.01,18.0,68.0,9.0
2018-11-08T22:56:00Z,25.99,8.0,45.99,45.99,27.0,69.01,8.0
2018-11-08T23:56:00Z,28.99,11.0,47.0,47.0,7.0,66.99,8.0
2018-11-09T00:56:00Z,24.0,8.0,53.02,53.02,34.0,64.99,7.0
2018-11-09T01:56:00Z,24.99,9.0,45.99,45.99,29.0,64.0,7.0
2018-11-09T02:56:00Z,31.0,7.0,53.02,53.02,43.0,62.01,7.0
