datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:24:00Z,7.0,328.0,14.0,14.0,305.0,73.99,12.0
2018-11-08T01:24:00Z,5.99,315.0,14.0,14.0,319.0,66.99,16.0
2018-11-08T02:24:00Z,5.99,12.0,11.01,11.01,312.0,64.99,19.0
2018-11-08T03:24:00Z,2.01,185.0,13.0,13.0,27.0,63.0,21.0
2018-11-08T04:24:00Z,1.01,230.0,5.99,5.99,273.0,54.0,27.0
2018-11-08T05:24:00Z,3.0,90.0,7.0,7.0,330.0,50.0,31.0
2018-11-08T06:24:00Z,1.01,221.0,4.99,4.99,316.0,46.0,34.0
2018-11-08T07:24:00Z,1.01,22.0,7.0,7.0,310.0,44.01,36.0
2018-11-08T08:24:00Z,0.0,,5.99,5.99,311.0,41.0,39.0
2018-11-08T09:24:00Z,1.01,173.0,7.0,7.0,314.0,39.99,41.0
2018-11-08T10:24:00Z,1.01,4.0,7.0,7.0,311.0,39.0,41.0
2018-11-08T11:24:00Z,1.01,148.0,4.0,4.0,331.0,37.0,43.0
2018-11-08T12:24:00Z,0.0,,4.0,4.0,336.0,35.01,44.0
2018-11-08T13:24:00Z,1.01,168.0,4.0,4.0,336.0,34.0,45.0
2018-11-08T14:24:00Z,1.01,302.0,3.0,3.0,20.0,33.01,46.0
2018-11-08T15:24:00Z,2.01,334.0,5.99,5.99,171.0,36.0,43.0
2018-11-08T16:24:00Z,1.01,263.0,4.0,4.0,337.0,55.99,24.0
2018-11-08T17:24:00Z,5.99,119.0,17.0,17.0,91.0,66.99,16.0
2018-11-08T18:24:00Z,4.99,166.0,15.99,15.99,132.0,69.01,13.0
2018-11-08T19:24:00Z,8.99,155.0,18.99,18.99,138.0,66.99,11.0
2018-11-08T20:24:00Z,5.99,201.0,17.0,17.0,141.0,68.0,10.0
2018-11-08T21:24:00Z,8.99,149.0,21.0,21.0,124.0,68.0,9.0
2018-11-08T22:24:00Z,10.0,127.0,24.99,24.99,123.0,66.99,9.0
2018-11-08T23:24:00Z,11.01,121.0,22.01,22.01,152.0,66.0,9.0
2018-11-09T00:24:00Z,10.0,139.0,24.99,24.99,139.0,64.0,9.0
2018-11-09T01:24:00Z,8.99,150.0,24.0,24.0,145.0,61.0,9.0
2018-11-09T02:24:00Z,5.99,152.0,14.0,14.0,158.0,57.99,8.0
2018-11-09T03:24:00Z,10.0,143.0,15.99,15.99,124.0,57.99,6.0
2018-11-09T04:24:00Z,3.0,154.0,20.0,20.0,135.0,55.99,6.0
2018-11-09T05:24:00Z,8.99,106.0,15.99,15.99,101.0,55.99,6.0
2018-11-09T06:24:00Z,7.0,117.0,17.0,17.0,122.0,55.0,7.0
2018-11-09T07:24:00Z,8.01,110.0,18.01,18.01,113.0,54.0,7.0
2018-11-09T08:24:00Z,7.0,134.0,17.0,17.0,121.0,53.01,8.0
2018-11-09T09:24:00Z,4.0,97.0,14.99,14.99,118.0,53.01,8.0
2018-11-09T10:24:00Z,4.99,124.0,14.0,14.0,97.0,53.01,7.0
2018-11-09T11:24:00Z,3.0,352.0,15.99,15.99,126.0,52.0,8.0
2018-11-09T12:24:00Z,4.0,43.0,10.0,10.0,51.0,50.0,9.0
2018-11-09T13:24:00Z,4.0,126.0,8.99,8.99,67.0,51.01,8.0
2018-11-09T14:24:00Z,8.01,138.0,17.0,17.0,101.0,52.0,7.0
2018-11-09T15:24:00Z,4.99,128.0,18.99,18.99,142.0,53.01,7.0
2018-11-09T16:24:00Z,4.99,129.0,18.99,18.99,145.0,59.0,5.0
2018-11-09T17:24:00Z,7.0,141.0,18.99,18.99,111.0,61.0,5.0
2018-11-09T18:24:00Z,7.0,175.0,20.0,20.0,131.0,64.0,4.0
2018-11-09T19:24:00Z,4.0,240.0,17.0,17.0,132.0,68.0,3.0
2018-11-09T20:24:00Z,7.0,12.0,20.0,20.0,5.0,66.99,3.0
2018-11-09T21:24:00Z,5.99,45.0,20.0,20.0,10.0,68.0,3.0
2018-11-09T22:24:00Z,4.99,143.0,17.0,17.0,134.0,69.01,3.0
2018-11-09T23:24:00Z,4.0,82.0,18.99,18.99,7.0,66.99,3.0
2018-11-10T00:24:00Z,8.99,123.0,15.99,15.99,111.0,64.0,3.0
2018-11-10T01:24:00Z,4.0,119.0,18.99,18.99,116.0,60.01,4.0
2018-11-10T02:24:00Z,5.99,124.0,15.99,15.99,125.0,57.0,5.0
2018-11-10T03:24:00Z,0.0,,8.99,8.99,122.0,46.0,9.0
2018-11-10T04:24:00Z,0.0,,4.99,4.99,351.0,37.0,12.0
2018-11-10T05:24:00Z,1.01,66.0,3.0,3.0,143.0,33.01,13.0
2018-11-10T06:24:00Z,2.01,353.0,4.0,4.0,338.0,30.99,16.0
2018-11-10T07:24:00Z,1.01,340.0,4.99,4.99,173.0,28.0,16.0
2018-11-10T08:24:00Z,2.01,347.0,4.99,4.99,356.0,25.0,16.0
2018-11-10T09:24:00Z,0.0,,4.0,4.0,348.0,25.0,20.0
2018-11-10T10:24:00Z,0.0,,2.01,2.01,337.0,23.0,19.0
2018-11-10T11:24:00Z,0.0,,3.0,3.0,354.0,21.99,20.0
2018-11-10T12:24:00Z,1.01,30.0,3.0,3.0,163.0,21.0,20.0
2018-11-10T13:24:00Z,0.0,,2.01,2.01,191.0,19.99,21.0
2018-11-10T14:24:00Z,0.0,,1.01,1.01,341.0,19.99,24.0
2018-11-10T15:24:00Z,0.0,,2.01,2.01,338.0,19.99,21.0
2018-11-10T16:24:00Z,0.0,,2.01,2.01,137.0,42.01,12.0
2018-11-10T17:24:00Z,0.0,,2.01,2.01,300.0,57.99,7.0
2018-11-10T18:24:00Z,2.01,74.0,3.0,3.0,121.0,70.0,3.0
2018-11-10T19:24:00Z,8.01,238.0,12.01,12.01,248.0,70.0,5.0
2018-11-10T20:24:00Z,10.0,239.0,15.99,15.99,231.0,70.0,5.0
2018-11-10T21:24:00Z,8.01,237.0,17.0,17.0,246.0,70.0,7.0
2018-11-10T22:24:00Z,8.01,237.0,14.99,14.99,244.0,69.01,9.0
2018-11-10T23:24:00Z,8.99,244.0,14.0,14.0,219.0,66.99,11.0
2018-11-11T00:24:00Z,5.99,230.0,11.01,11.01,247.0,63.0,14.0
2018-11-11T01:24:00Z,3.0,178.0,8.99,8.99,252.0,54.0,18.0
2018-11-11T02:24:00Z,0.0,,4.0,4.0,198.0,44.01,25.0
2018-11-11T03:24:00Z,0.0,,5.99,5.99,349.0,39.99,26.0
2018-11-11T04:24:00Z,1.01,335.0,3.0,3.0,355.0,36.0,28.0
2018-11-11T05:24:00Z,0.0,,3.0,3.0,174.0,34.0,31.0
2018-11-11T06:24:00Z,1.01,178.0,4.99,4.99,338.0,33.01,32.0
2018-11-11T07:24:00Z,1.01,354.0,3.0,3.0,170.0,30.0,32.0
2018-11-11T08:24:00Z,2.01,313.0,4.0,4.0,354.0,28.99,33.0
2018-11-11T09:24:00Z,0.0,,4.99,4.99,353.0,28.0,33.0
2018-11-11T10:24:00Z,1.01,188.0,4.0,4.0,348.0,27.0,33.0
2018-11-11T11:24:00Z,1.01,190.0,4.0,4.0,324.0,27.0,33.0
2018-11-11T12:24:00Z,0.0,,3.0,3.0,353.0,25.0,32.0
2018-11-11T13:24:00Z,0.0,,2.01,2.01,319.0,24.01,33.0
2018-11-11T14:24:00Z,0.0,,3.0,3.0,346.0,23.0,34.0
2018-11-11T15:24:00Z,2.01,6.0,4.99,4.99,4.0,25.0,32.0
2018-11-11T16:24:00Z,4.0,84.0,12.01,12.01,123.0,48.0,16.0
2018-11-11T17:24:00Z,8.99,128.0,20.0,20.0,121.0,59.0,10.0
2018-11-11T18:24:00Z,8.99,126.0,18.99,18.99,131.0,61.0,10.0
2018-11-11T19:24:00Z,4.0,85.0,18.01,18.01,141.0,64.0,9.0
2018-11-11T20:24:00Z,10.0,120.0,20.0,20.0,115.0,64.0,8.0
2018-11-11T21:24:00Z,5.99,118.0,18.01,18.01,122.0,66.99,7.0
2018-11-11T22:24:00Z,7.0,102.0,17.0,17.0,111.0,66.0,6.0
2018-11-11T23:24:00Z,10.0,130.0,18.99,18.99,114.0,64.99,6.0
2018-11-12T00:24:00Z,3.0,134.0,23.0,23.0,110.0,62.01,6.0
