datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:57:00Z,8.01,247.0,12.01,12.01,241.0,64.99,70.0
2018-11-08T01:57:00Z,4.99,249.0,11.01,11.01,249.0,61.0,83.0
2018-11-08T02:57:00Z,3.0,283.0,5.99,5.99,275.0,59.0,91.0
2018-11-08T03:57:00Z,2.01,335.0,4.0,4.0,336.0,57.0,96.0
2018-11-08T04:57:00Z,2.01,291.0,4.0,4.0,354.0,55.99,100.0
2018-11-08T05:57:00Z,2.01,8.0,4.0,4.0,318.0,55.0,100.0
2018-11-08T06:57:00Z,2.01,71.0,4.99,4.99,16.0,54.0,100.0
2018-11-08T07:57:00Z,1.01,116.0,4.99,4.99,124.0,53.01,100.0
2018-11-08T08:57:00Z,3.0,97.0,5.99,5.99,107.0,53.01,99.0
2018-11-08T09:57:00Z,1.01,54.0,4.99,4.99,33.0,53.01,99.0
2018-11-08T10:57:00Z,4.99,102.0,7.0,7.0,106.0,52.0,87.0
2018-11-08T11:57:00Z,4.0,64.0,5.99,5.99,96.0,55.99,58.0
2018-11-08T12:57:00Z,2.01,57.0,10.0,10.0,104.0,53.01,56.0
2018-11-08T13:57:00Z,4.0,38.0,7.0,7.0,16.0,57.0,42.0
2018-11-08T14:57:00Z,2.01,183.0,8.01,8.01,120.0,57.0,40.0
2018-11-08T15:57:00Z,10.0,12.0,21.0,21.0,17.0,63.0,27.0
2018-11-08T16:57:00Z,20.0,21.0,38.99,38.99,23.0,66.0,17.0
2018-11-08T17:57:00Z,21.0,38.0,37.0,37.0,38.0,68.0,14.0
2018-11-08T18:57:00Z,24.99,24.0,42.01,42.01,27.0,69.01,10.0
2018-11-08T19:57:00Z,25.99,29.0,44.98,44.98,33.0,70.0,9.0
2018-11-08T20:57:00Z,28.01,28.0,50.0,50.0,32.0,71.01,9.0
2018-11-08T21:57:00Z,24.99,35.0,47.0,47.0,29.0,72.0,9.0
2018-11-08T22:57:00Z,21.0,42.0,44.0,44.0,56.0,72.0,9.0
2018-11-08T23:57:00Z,21.0,35.0,44.0,44.0,17.0,70.0,9.0
2018-11-09T00:57:00Z,15.99,31.0,35.99,35.99,36.0,68.0,8.0
2018-11-09T01:57:00Z,21.0,30.0,37.0,37.0,51.0,66.0,8.0
2018-11-09T02:57:00Z,13.0,33.0,38.01,38.01,44.0,64.0,8.0
2018-11-09T03:57:00Z,18.99,31.0,35.99,35.99,48.0,64.99,8.0
2018-11-09T04:57:00Z,15.99,25.0,34.99,34.99,30.0,64.0,8.0
2018-11-09T05:57:00Z,12.01,24.0,34.0,34.0,51.0,63.0,8.0
2018-11-09T06:57:00Z,14.0,34.0,27.0,27.0,51.0,62.01,8.0
2018-11-09T07:57:00Z,18.99,37.0,37.0,37.0,48.0,62.01,8.0
2018-11-09T08:57:00Z,15.99,38.0,31.0,31.0,36.0,62.01,8.0
2018-11-09T09:57:00Z,18.01,34.0,34.99,34.99,51.0,61.0,9.0
2018-11-09T10:57:00Z,15.99,28.0,34.99,34.99,41.0,60.01,9.0
2018-11-09T11:57:00Z,11.01,22.0,31.0,31.0,55.0,60.01,9.0
2018-11-09T12:57:00Z,15.99,30.0,27.0,27.0,49.0,60.01,9.0
2018-11-09T13:57:00Z,14.0,22.0,27.0,27.0,21.0,59.0,9.0
2018-11-09T14:57:00Z,8.99,9.0,32.99,32.99,28.0,59.0,9.0
2018-11-09T15:57:00Z,8.99,15.0,23.0,23.0,30.0,62.01,8.0
2018-11-09T16:57:00Z,17.0,32.0,28.01,28.01,46.0,63.0,8.0
2018-11-09T17:57:00Z,20.0,18.0,40.0,40.0,35.0,64.99,7.0
2018-11-09T18:57:00Z,14.99,26.0,32.99,32.99,19.0,66.99,7.0
2018-11-09T19:57:00Z,17.0,22.0,34.0,34.0,27.0,68.0,7.0
2018-11-09T20:57:00Z,20.0,43.0,34.99,34.99,35.0,69.01,6.0
2018-11-09T21:57:00Z,21.0,29.0,34.0,34.0,34.0,70.0,6.0
2018-11-09T22:57:00Z,14.0,32.0,32.99,32.99,13.0,70.0,6.0
2018-11-09T23:57:00Z,14.99,34.0,28.99,28.99,44.0,69.01,6.0
2018-11-10T00:57:00Z,8.99,32.0,25.99,25.99,36.0,66.99,6.0
2018-11-10T01:57:00Z,3.0,34.0,17.0,17.0,58.0,64.99,6.0
2018-11-10T02:57:00Z,8.01,10.0,14.0,14.0,9.0,63.0,7.0
2018-11-10T03:57:00Z,8.99,14.0,14.99,14.99,9.0,62.01,7.0
2018-11-10T04:57:00Z,4.99,357.0,10.0,10.0,26.0,61.0,7.0
2018-11-10T05:57:00Z,4.0,5.0,12.01,12.01,1.0,57.99,7.0
2018-11-10T06:57:00Z,5.99,4.0,11.01,11.01,26.0,57.99,8.0
2018-11-10T07:57:00Z,8.01,24.0,13.0,13.0,39.0,57.99,8.0
2018-11-10T08:57:00Z,5.99,21.0,13.0,13.0,14.0,57.0,8.0
