datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:12:00Z,7.0,118.0,14.0,14.0,111.0,66.0,73.0
2018-11-08T01:12:00Z,5.99,108.0,10.0,10.0,108.0,62.01,81.0
2018-11-08T02:12:00Z,0.0,,10.0,10.0,126.0,57.99,88.0
2018-11-08T03:12:00Z,0.0,,3.0,3.0,251.0,55.99,92.0
2018-11-08T04:12:00Z,0.0,,2.01,2.01,253.0,55.0,96.0
2018-11-08T05:12:00Z,0.0,,3.0,3.0,43.0,52.0,98.0
2018-11-08T06:12:00Z,1.01,238.0,2.01,2.01,251.0,51.01,99.0
2018-11-08T07:12:00Z,1.01,226.0,3.0,3.0,79.0,48.99,100.0
2018-11-08T08:12:00Z,0.0,,2.01,2.01,201.0,48.99,100.0
2018-11-08T09:12:00Z,0.0,,2.01,2.01,209.0,46.99,100.0
2018-11-08T10:12:00Z,1.01,104.0,3.0,3.0,48.0,46.99,100.0
2018-11-08T11:12:00Z,0.0,,3.0,3.0,289.0,46.0,100.0
2018-11-08T12:12:00Z,1.01,143.0,3.0,3.0,145.0,45.0,98.0
2018-11-08T13:12:00Z,0.0,,3.0,3.0,302.0,46.0,98.0
2018-11-08T14:12:00Z,3.0,116.0,7.0,7.0,78.0,45.0,97.0
2018-11-08T15:12:00Z,1.01,195.0,4.0,4.0,227.0,46.99,90.0
2018-11-08T16:12:00Z,1.01,186.0,4.99,4.99,350.0,55.99,78.0
2018-11-08T17:12:00Z,7.0,39.0,18.01,18.01,24.0,73.0,19.0
2018-11-08T18:12:00Z,8.01,27.0,23.0,23.0,30.0,73.99,15.0
2018-11-08T19:12:00Z,10.0,16.0,24.99,24.99,35.0,75.0,13.0
2018-11-08T20:12:00Z,8.99,36.0,24.99,24.99,32.0,75.99,12.0
2018-11-08T21:12:00Z,8.01,26.0,24.99,24.99,359.0,77.0,12.0
2018-11-08T22:12:00Z,8.99,7.0,24.0,24.0,355.0,75.0,11.0
2018-11-08T23:12:00Z,8.99,18.0,23.0,23.0,27.0,73.99,11.0
2018-11-09T00:12:00Z,8.01,7.0,27.0,27.0,27.0,72.0,12.0
2018-11-09T01:12:00Z,5.99,21.0,23.0,23.0,29.0,70.0,11.0
2018-11-09T02:12:00Z,4.0,9.0,14.0,14.0,333.0,68.0,11.0
2018-11-09T03:12:00Z,4.99,352.0,15.99,15.99,355.0,66.0,10.0
2018-11-09T04:12:00Z,4.99,350.0,14.99,14.99,4.0,66.0,10.0
2018-11-09T05:12:00Z,7.0,351.0,20.0,20.0,38.0,66.99,9.0
