datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:57:00Z,4.0,175.0,12.01,12.01,170.0,57.99,93.0
2018-11-08T01:57:00Z,4.0,285.0,7.0,7.0,284.0,57.99,89.0
2018-11-08T02:57:00Z,2.01,191.0,5.99,5.99,277.0,57.0,95.0
2018-11-08T03:57:00Z,1.01,327.0,3.0,3.0,349.0,57.0,94.0
2018-11-08T04:57:00Z,1.01,169.0,2.01,2.01,332.0,55.99,98.0
2018-11-08T05:57:00Z,1.01,339.0,2.01,2.01,328.0,55.99,100.0
2018-11-08T06:57:00Z,2.01,133.0,4.0,4.0,123.0,55.99,100.0
2018-11-08T07:57:00Z,3.0,108.0,5.99,5.99,111.0,55.99,100.0
2018-11-08T08:57:00Z,2.01,149.0,5.99,5.99,102.0,55.99,100.0
2018-11-08T09:57:00Z,3.0,105.0,4.99,4.99,162.0,54.0,100.0
2018-11-08T10:57:00Z,5.99,162.0,10.0,10.0,163.0,54.0,100.0
2018-11-08T11:57:00Z,4.99,165.0,11.01,11.01,172.0,54.0,100.0
2018-11-08T12:57:00Z,4.0,142.0,7.0,7.0,164.0,54.0,100.0
2018-11-08T13:57:00Z,4.99,143.0,8.01,8.01,173.0,53.01,100.0
2018-11-08T14:57:00Z,2.01,57.0,5.99,5.99,148.0,53.01,100.0
2018-11-08T15:57:00Z,1.01,337.0,5.99,5.99,28.0,55.0,100.0
2018-11-08T16:57:00Z,4.0,87.0,8.01,8.01,125.0,63.0,61.0
2018-11-08T17:57:00Z,4.0,44.0,10.0,10.0,71.0,66.0,46.0
2018-11-08T18:57:00Z,8.01,358.0,14.0,14.0,15.0,68.0,37.0
2018-11-08T19:57:00Z,7.0,4.0,18.01,18.01,343.0,72.0,21.0
2018-11-08T20:57:00Z,7.0,21.0,23.0,23.0,36.0,75.0,13.0
2018-11-08T21:57:00Z,14.99,354.0,32.01,32.01,349.0,73.99,8.0
2018-11-08T22:57:00Z,14.99,354.0,31.0,31.0,344.0,73.99,8.0
2018-11-08T23:57:00Z,10.0,25.0,27.0,27.0,72.0,72.0,8.0
2018-11-09T00:57:00Z,13.0,356.0,27.0,27.0,68.0,68.0,7.0
2018-11-09T01:57:00Z,8.99,11.0,24.99,24.99,20.0,66.99,6.0
2018-11-09T02:57:00Z,8.99,33.0,28.01,28.01,53.0,64.99,6.0
2018-11-09T03:57:00Z,8.99,22.0,25.99,25.99,40.0,64.0,7.0
