datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:53:00Z,11.01,284.0,20.0,20.0,284.0,66.0,16.0
2018-11-08T01:53:00Z,17.0,289.0,27.0,27.0,279.0,64.0,13.0
2018-11-08T02:53:00Z,18.01,284.0,28.01,28.01,280.0,63.0,14.0
2018-11-08T03:53:00Z,18.99,284.0,27.0,27.0,281.0,61.0,13.0
2018-11-08T04:53:00Z,17.0,285.0,25.99,25.99,285.0,62.01,19.0
2018-11-08T05:53:00Z,23.0,287.0,32.01,32.01,294.0,62.01,20.0
2018-11-08T06:53:00Z,23.0,289.0,38.01,38.01,302.0,61.0,17.0
2018-11-08T07:53:00Z,15.99,289.0,37.0,37.0,284.0,61.0,15.0
2018-11-08T08:53:00Z,17.0,288.0,27.0,27.0,304.0,60.01,15.0
2018-11-08T09:53:00Z,13.0,277.0,28.99,28.99,309.0,60.01,15.0
2018-11-08T10:53:00Z,14.0,287.0,25.99,25.99,299.0,59.0,16.0
2018-11-08T11:53:00Z,10.0,310.0,18.99,18.99,300.0,57.0,20.0
2018-11-08T12:53:00Z,8.99,45.0,17.0,17.0,328.0,55.99,21.0
2018-11-08T13:53:00Z,14.99,63.0,20.0,20.0,62.0,57.0,22.0
2018-11-08T14:53:00Z,17.0,24.0,31.0,31.0,28.0,57.0,27.0
2018-11-08T15:53:00Z,24.0,58.0,34.0,34.0,28.0,57.0,29.0
2018-11-08T16:53:00Z,30.0,61.0,42.01,42.01,59.0,57.0,19.0
2018-11-08T17:53:00Z,34.99,63.0,52.01,52.01,67.0,59.0,15.0
2018-11-08T18:53:00Z,31.0,54.0,58.0,58.0,61.0,60.01,13.0
2018-11-08T19:53:00Z,34.99,64.0,59.99,59.99,71.0,61.0,11.0
2018-11-08T20:53:00Z,28.99,57.0,49.01,49.01,75.0,62.01,10.0
2018-11-08T21:53:00Z,32.99,71.0,55.01,55.01,51.0,61.0,11.0
2018-11-08T22:53:00Z,28.01,65.0,53.02,53.02,60.0,59.0,11.0
2018-11-08T23:53:00Z,37.0,68.0,55.99,55.99,68.0,57.99,11.0
2018-11-09T00:53:00Z,38.01,64.0,59.99,59.99,50.0,55.0,10.0
2018-11-09T01:53:00Z,42.01,69.0,54.0,54.0,69.0,53.01,10.0
2018-11-09T02:53:00Z,40.0,69.0,55.01,55.01,70.0,52.0,10.0
2018-11-09T03:53:00Z,40.0,68.0,55.99,55.99,45.0,52.0,9.0
2018-11-09T04:53:00Z,44.98,67.0,65.01,65.01,61.0,52.0,9.0
2018-11-09T05:53:00Z,42.01,69.0,62.01,62.01,51.0,50.0,10.0
2018-11-09T06:53:00Z,42.01,62.0,62.01,62.01,57.0,48.99,11.0
2018-11-09T07:53:00Z,42.99,62.0,58.0,58.0,64.0,48.0,11.0
2018-11-09T08:53:00Z,42.01,65.0,55.99,55.99,66.0,48.0,11.0
