datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:57:00Z,10.0,322.0,17.0,17.0,322.0,62.01,26.0
2018-11-08T01:57:00Z,8.99,329.0,15.99,15.99,322.0,60.01,21.0
2018-11-08T02:57:00Z,4.0,285.0,18.01,18.01,349.0,62.01,21.0
2018-11-08T03:57:00Z,10.0,322.0,13.0,13.0,318.0,59.0,19.0
2018-11-08T04:57:00Z,10.0,318.0,13.0,13.0,338.0,59.0,19.0
2018-11-08T05:57:00Z,15.99,336.0,21.0,21.0,333.0,59.0,22.0
2018-11-08T06:57:00Z,10.0,315.0,22.01,22.01,332.0,57.99,24.0
2018-11-08T07:57:00Z,18.01,323.0,25.99,25.99,319.0,57.99,22.0
2018-11-08T08:57:00Z,21.0,324.0,31.0,31.0,338.0,57.99,19.0
2018-11-08T09:57:00Z,24.0,325.0,38.01,38.01,315.0,57.0,18.0
2018-11-08T10:57:00Z,23.0,326.0,34.99,34.99,329.0,55.99,21.0
2018-11-08T11:57:00Z,34.0,322.0,47.0,47.0,322.0,52.0,33.0
2018-11-08T12:57:00Z,25.99,322.0,41.0,41.0,323.0,53.01,26.0
2018-11-08T13:57:00Z,23.0,319.0,38.99,38.99,317.0,53.01,27.0
2018-11-08T14:57:00Z,21.0,321.0,34.0,34.0,330.0,53.01,32.0
2018-11-08T15:57:00Z,21.0,349.0,30.0,30.0,344.0,54.0,30.0
2018-11-08T16:57:00Z,20.0,355.0,37.0,37.0,27.0,57.0,18.0
2018-11-08T17:57:00Z,14.0,8.0,35.99,35.99,26.0,57.99,14.0
2018-11-08T18:57:00Z,12.01,347.0,35.99,35.99,342.0,59.0,13.0
2018-11-08T19:57:00Z,11.01,14.0,30.0,30.0,6.0,60.01,11.0
2018-11-08T20:57:00Z,7.0,26.0,35.99,35.99,348.0,63.0,10.0
2018-11-08T21:57:00Z,10.0,22.0,28.99,28.99,17.0,61.0,10.0
2018-11-08T22:57:00Z,11.01,61.0,32.01,32.01,12.0,60.01,10.0
2018-11-08T23:57:00Z,12.01,62.0,31.0,31.0,29.0,59.0,11.0
2018-11-09T00:57:00Z,7.0,6.0,34.99,34.99,6.0,55.0,10.0
2018-11-09T01:57:00Z,15.99,31.0,41.0,41.0,15.0,54.0,9.0
2018-11-09T02:57:00Z,10.0,23.0,24.99,24.99,1.0,53.01,9.0
2018-11-09T03:57:00Z,12.01,4.0,31.0,31.0,26.0,52.0,8.0
2018-11-09T04:57:00Z,21.0,9.0,42.99,42.99,43.0,52.0,8.0
2018-11-09T05:57:00Z,18.99,5.0,38.01,38.01,20.0,52.0,8.0
2018-11-09T06:57:00Z,14.99,356.0,34.99,34.99,25.0,50.0,9.0
2018-11-09T07:57:00Z,20.0,345.0,31.0,31.0,339.0,48.99,10.0
2018-11-09T08:57:00Z,18.99,342.0,34.99,34.99,355.0,48.0,11.0
2018-11-09T09:57:00Z,17.0,333.0,38.01,38.01,340.0,46.99,11.0
2018-11-09T10:57:00Z,20.0,335.0,34.0,34.0,335.0,46.99,11.0
2018-11-09T11:57:00Z,24.99,337.0,37.0,37.0,343.0,46.99,12.0
2018-11-09T12:57:00Z,25.99,339.0,38.99,38.99,338.0,46.0,12.0
2018-11-09T13:57:00Z,25.99,326.0,42.01,42.01,350.0,45.0,13.0
2018-11-09T14:57:00Z,23.0,329.0,42.99,42.99,328.0,45.0,13.0
2018-11-09T15:57:00Z,25.99,322.0,38.01,38.01,327.0,46.0,12.0
2018-11-09T16:57:00Z,28.01,339.0,38.99,38.99,338.0,48.0,12.0
2018-11-09T17:57:00Z,21.0,343.0,35.99,35.99,345.0,51.01,10.0
2018-11-09T18:57:00Z,24.0,342.0,37.0,37.0,359.0,54.0,8.0
2018-11-09T19:57:00Z,18.99,344.0,40.0,40.0,350.0,55.99,7.0
2018-11-09T20:57:00Z,18.99,342.0,35.99,35.99,348.0,57.99,6.0
2018-11-09T21:57:00Z,18.99,347.0,32.99,32.99,344.0,57.99,6.0
2018-11-09T22:57:00Z,18.01,343.0,31.0,31.0,342.0,59.0,6.0
2018-11-09T23:57:00Z,18.01,340.0,27.0,27.0,330.0,57.99,6.0
2018-11-10T00:57:00Z,18.99,347.0,32.01,32.01,350.0,55.99,6.0
2018-11-10T01:57:00Z,18.99,331.0,32.99,32.99,338.0,54.0,8.0
2018-11-10T02:57:00Z,22.01,324.0,34.0,34.0,314.0,53.01,8.0
2018-11-10T03:57:00Z,21.0,330.0,32.99,32.99,337.0,52.0,7.0
2018-11-10T04:57:00Z,21.0,325.0,37.0,37.0,324.0,51.01,8.0
2018-11-10T05:57:00Z,22.01,326.0,34.0,34.0,334.0,52.0,7.0
2018-11-10T06:57:00Z,24.0,324.0,34.0,34.0,325.0,52.0,7.0
2018-11-10T07:57:00Z,18.01,322.0,28.99,28.99,334.0,52.0,7.0
2018-11-10T08:57:00Z,18.99,322.0,28.01,28.01,328.0,53.01,7.0
2018-11-10T09:57:00Z,14.99,333.0,24.99,24.99,324.0,53.01,6.0
2018-11-10T10:57:00Z,20.0,325.0,27.0,27.0,327.0,53.01,6.0
2018-11-10T11:57:00Z,12.01,334.0,24.99,24.99,335.0,54.0,6.0
2018-11-10T12:57:00Z,11.01,330.0,15.99,15.99,333.0,54.0,6.0
2018-11-10T13:57:00Z,11.01,328.0,17.0,17.0,323.0,53.01,6.0
2018-11-10T14:57:00Z,4.99,310.0,14.99,14.99,340.0,55.99,5.0
2018-11-10T15:57:00Z,4.0,310.0,8.01,8.01,309.0,60.01,4.0
2018-11-10T16:57:00Z,1.01,237.0,7.0,7.0,339.0,63.0,3.0
2018-11-10T17:57:00Z,0.0,,4.99,4.99,113.0,66.99,3.0
2018-11-10T18:57:00Z,2.01,104.0,7.0,7.0,141.0,66.99,4.0
2018-11-10T19:57:00Z,7.0,140.0,12.01,12.01,136.0,69.01,4.0
2018-11-10T20:57:00Z,8.01,144.0,14.99,14.99,143.0,69.01,3.0
2018-11-10T21:57:00Z,8.99,145.0,18.01,18.01,148.0,68.0,6.0
2018-11-10T22:57:00Z,11.01,150.0,14.99,14.99,146.0,66.0,8.0
2018-11-10T23:57:00Z,8.01,152.0,14.99,14.99,160.0,61.0,15.0
2018-11-11T00:57:00Z,1.01,171.0,10.0,10.0,154.0,57.0,16.0
2018-11-11T01:57:00Z,2.01,98.0,4.0,4.0,124.0,57.0,14.0
2018-11-11T02:57:00Z,2.01,144.0,5.99,5.99,115.0,55.99,15.0
2018-11-11T03:57:00Z,4.0,168.0,4.99,4.99,179.0,54.0,16.0
