event_id,stid,regime,flow_coupling,peak_dt_utc,lat,lon,bc850,bco,hrrr_10m_aligned,hrrr_925_aligned,hrrr_700_aligned,coupling_ratio,shear_925_850,shear_700_850,notes
camp_2018,BNGC1,diablo_offshore,intermediate,2018-11-08T18:00:00,39.38075,-121.38623,35.460,5.9190,6.318,27.674,16.398,0.1782,-7.786,-19.062,
camp_2018,CBXC1,diablo_offshore,coupled,2018-11-08T17:00:00,40.14564,-121.52250,32.930,1.1360,25.371,20.836,22.051,0.7704,-12.094,-10.879,
camp_2018,CDEC1,diablo_offshore,intermediate,2018-11-08T14:00:00,40.06866,-121.58400,30.160,2.0120,18.410,17.792,18.885,0.6104,-12.368,-11.275,
camp_2018,CSTC1,diablo_offshore,intermediate,2018-11-07T22:00:00,39.87184,-121.76898,13.320,1.4810,10.095,10.951,29.254,0.7579,-2.369,15.934,
camp_2018,HMRC1,diablo_offshore,coupled,2018-11-08T16:00:00,40.10952,-121.38270,22.840,1.7570,23.618,15.345,27.965,1.0340,-7.495,5.125,
camp_2018,JBGC1,diablo_offshore,coupled,2018-11-08T12:00:00,39.73591,-121.48898,25.620,0.8010,16.578,30.325,15.678,0.6471,4.705,-9.942,
camp_2018,PKCC1,diablo_offshore,coupled,2018-11-08T12:00:00,39.47469,-121.20241,31.790,1.3250,9.717,23.375,15.742,0.3057,-8.415,-16.048,
camp_2018,PSWC1,diablo_offshore,intermediate,2018-11-09T10:00:00,40.24212,-121.77573,11.250,2.8130,21.059,19.734,9.589,1.8719,8.484,-1.661,
camp_2018,QYRC1,diablo_offshore,intermediate,2018-11-08T22:00:00,39.97333,-120.94194,13.750,6.8390,3.527,6.813,25.567,0.2565,-6.937,11.817,
kincade_ign_2019,ATLC1,diablo_offshore_NW,coupled,2019-10-23T13:00:00,38.47485,-122.26480,23.420,1.9500,7.172,28.804,33.588,0.3062,5.384,10.168,
kincade_ign_2019,HGLC1,diablo_offshore_NW,coupled,2019-10-24T14:00:00,39.20890,-122.80999,17.500,1.0950,4.763,18.927,6.563,0.2722,1.427,-10.937,
kincade_ign_2019,HPDC1,diablo_offshore_NW,coupled,2019-10-24T09:00:00,39.03083,-123.08056,27.080,0.9340,21.357,28.437,18.390,0.7887,1.357,-8.690,
kincade_ign_2019,HWKC1,diablo_offshore_NW,intermediate,2019-10-24T11:00:00,38.73509,-122.83706,24.250,0.7820,35.132,37.675,11.087,1.4488,13.425,-13.163,
kincade_ign_2019,KELC1,diablo_offshore_NW,intermediate,2019-10-24T12:00:00,38.91189,-122.70631,31.620,2.6320,8.563,36.765,8.057,0.2708,5.145,-23.563,
kincade_ign_2019,KNXC1,diablo_offshore_NW,intermediate,2019-10-24T05:00:00,38.86194,-122.41722,38.070,1.4100,30.121,41.069,17.222,0.7912,2.999,-20.848,
kincade_ign_2019,OAAC1,diablo_offshore_NW,coupled,2019-10-24T08:00:00,38.73806,-123.30839,17.130,1.0710,17.290,38.918,19.729,1.0093,21.788,2.599,
kincade_ign_2019,RSAC1,diablo_offshore_NW,intermediate,2019-10-24T03:00:00,38.47848,-122.71180,20.590,1.2110,5.981,34.137,21.019,0.2905,13.547,0.429,
kincade_ign_2019,WISC1,diablo_offshore_NW,intermediate,2019-10-23T19:00:00,39.01883,-122.41169,27.980,1.2170,23.386,31.668,16.520,0.8358,3.688,-11.460,
kincade_run_2019,ATLC1,diablo_offshore_NE,coupled,2019-10-27T08:00:00,38.47485,-122.26480,17.180,1.1460,19.029,41.893,34.736,1.1077,24.713,17.556,
kincade_run_2019,HGLC1,diablo_offshore_NE,coupled,2019-10-27T11:00:00,39.20890,-122.80999,39.020,1.6260,21.988,26.306,30.659,0.5635,-12.714,-8.361,
kincade_run_2019,HPDC1,diablo_offshore_NE,coupled,2019-10-27T09:00:00,39.03083,-123.08056,12.090,0.3460,18.884,15.771,36.477,1.5619,3.681,24.387,
kincade_run_2019,HWKC1,diablo_offshore_NE,intermediate,2019-10-27T11:00:00,38.73509,-122.83706,24.520,0.6130,34.092,39.987,30.827,1.3904,15.467,6.307,
kincade_run_2019,KELC1,diablo_offshore_NE,intermediate,2019-10-27T19:00:00,38.91189,-122.70631,46.080,3.5450,15.186,34.127,67.248,0.3296,-11.953,21.168,
kincade_run_2019,KNXC1,diablo_offshore_NE,intermediate,2019-10-27T14:00:00,38.86194,-122.41722,40.070,1.1130,34.410,47.114,47.046,0.8588,7.044,6.976,
kincade_run_2019,OAAC1,diablo_offshore_NE,coupled,2019-10-27T10:00:00,38.73806,-123.30839,10.960,0.7310,17.188,24.588,35.576,1.5682,13.628,24.616,
kincade_run_2019,RSAC1,diablo_offshore_NE,intermediate,2019-10-27T11:00:00,38.47848,-122.71180,18.170,0.7570,28.657,46.693,34.845,1.5772,28.523,16.675,
kincade_run_2019,WISC1,diablo_offshore_NE,intermediate,2019-10-27T09:00:00,39.01883,-122.41169,34.960,0.8740,23.850,41.990,35.862,0.6822,7.030,0.902,
thomas_2017,BVRC1,santa_ana,intermediate,2017-12-07T04:00:00,34.12486,-118.41257,28.630,1.5900,4.619,20.144,36.236,0.1613,-8.486,7.606,
thomas_2017,CEEC1,santa_ana,intermediate,2017-12-05T07:00:00,34.18658,-118.71956,33.030,0.9710,22.813,45.877,13.511,0.6907,12.847,-19.519,
thomas_2017,CNIC1,santa_ana,intermediate,2017-12-05T21:00:00,34.35325,-118.41858,39.900,0.9070,36.368,37.486,35.613,0.9115,-2.414,-4.287,
thomas_2017,CSVC1,santa_ana,intermediate,2017-12-05T16:00:00,34.40818,-119.37124,46.200,3.8470,15.090,36.678,40.668,0.3266,-9.522,-5.532,
thomas_2017,CUUC1,santa_ana,intermediate,2017-12-07T08:00:00,34.80637,-119.01363,18.730,1.2500,17.520,10.116,30.332,0.9354,-8.614,11.602,
thomas_2017,DLVC1,santa_ana,intermediate,2017-12-05T19:00:00,34.42972,-118.66712,40.690,1.7690,31.089,39.328,39.071,0.7641,-1.362,-1.619,
thomas_2017,GMTC1,santa_ana,coupled,2017-12-03T07:00:00,34.64078,-118.41435,22.290,0.8260,12.913,9.570,31.452,0.5793,-12.720,9.162,
thomas_2017,LTJC1,santa_ana,coupled,2017-12-05T16:00:00,34.29361,-118.36083,27.310,1.0930,32.812,31.365,20.717,1.2015,4.055,-6.593,
thomas_2017,MBCC1,santa_ana,intermediate,2017-12-04T19:00:00,34.08394,-118.70345,10.900,0.6810,18.322,22.251,23.926,1.6809,11.351,13.026,
thomas_2017,MBUC1,santa_ana,intermediate,2017-12-07T13:00:00,34.06156,-118.64522,22.330,0.4960,24.157,28.973,28.160,1.0818,6.643,5.830,
thomas_2017,MTIC1,santa_ana,coupled,2017-12-05T07:00:00,34.46140,-119.64901,29.840,1.7550,12.658,24.815,8.491,0.4242,-5.025,-21.349,
thomas_2017,NHPC1,santa_ana,intermediate,2017-12-05T20:00:00,34.33697,-118.52050,41.880,1.1640,30.539,38.052,33.745,0.7292,-3.828,-8.135,
thomas_2017,OZNC1,santa_ana,intermediate,2017-12-04T22:00:00,34.68178,-119.35373,5.960,0.3980,7.741,6.996,10.771,1.2988,1.036,4.811,
thomas_2017,PPPC1,santa_ana,intermediate,2017-12-03T19:00:00,34.72832,-118.39406,20.470,0.6820,24.851,18.672,33.340,1.2140,-1.798,12.870,
thomas_2017,SAUC1,santa_ana,intermediate,2017-12-05T17:00:00,34.43501,-118.51318,49.260,1.2630,22.568,43.334,31.664,0.4581,-5.926,-17.596,
thomas_2017,SBVC1,santa_ana,intermediate,2017-12-05T10:00:00,34.45589,-119.70563,26.000,2.3610,18.461,28.366,9.570,0.7100,2.366,-16.430,
thomas_2017,TCLC1,santa_ana,intermediate,2017-12-04T21:00:00,34.47394,-118.76156,26.360,2.6360,25.688,33.503,19.589,0.9745,7.143,-6.771,
thomas_2017,TPGC1,santa_ana,intermediate,2017-12-07T15:00:00,34.13624,-118.60600,25.620,1.0670,9.116,24.957,31.489,0.3558,-0.663,5.869,
thomas_2017,WLYC1,santa_ana,coupled,2017-12-05T12:00:00,34.37167,-118.84083,48.550,0.9710,31.882,52.721,27.286,0.6567,4.171,-21.264,
thomas_2017,WMSC1,santa_ana,intermediate,2017-12-07T02:00:00,34.59583,-118.57861,30.670,0.6670,10.338,17.028,40.417,0.3371,-13.642,9.747,
thomas_2017,WTPC1,santa_ana,intermediate,2017-12-05T13:00:00,34.56938,-118.74019,49.340,1.5920,8.562,20.664,40.147,0.1735,-28.676,-9.193,
tubbs_2017,ATLC1,diablo_offshore,coupled,2017-10-10T23:00:00,38.47485,-122.26480,14.250,0.6470,8.575,13.365,20.686,0.6018,-0.885,6.436,
tubbs_2017,HWKC1,diablo_offshore,intermediate,2017-10-09T06:00:00,38.73509,-122.83706,28.470,0.5930,36.725,44.143,16.205,1.2900,15.673,-12.265,
tubbs_2017,KELC1,diablo_offshore,intermediate,2017-10-08T05:00:00,38.91189,-122.70631,10.650,0.7600,13.815,15.184,18.179,1.2972,4.534,7.529,
tubbs_2017,KNXC1,diablo_offshore,intermediate,2017-10-09T08:00:00,38.86194,-122.41722,51.620,1.4340,36.698,53.625,12.758,0.7109,2.005,-38.862,
tubbs_2017,RSAC1,diablo_offshore,intermediate,2017-10-09T09:00:00,38.47848,-122.71180,24.690,0.9500,31.153,61.365,15.027,1.2618,36.675,-9.663,
tubbs_2017,WISC1,diablo_offshore,intermediate,2017-10-09T07:00:00,39.01883,-122.41169,48.580,1.3880,27.915,48.602,20.012,0.5746,0.022,-28.568,
woolsey_2018,BVRC1,santa_ana,intermediate,2018-11-10T11:00:00,34.12486,-118.41257,2.420,0.1620,8.120,1.407,11.313,3.3556,-1.013,8.893,
woolsey_2018,CEEC1,santa_ana,intermediate,2018-11-12T18:00:00,34.18658,-118.71956,23.880,0.7020,24.019,29.783,16.559,1.0058,5.903,-7.321,
woolsey_2018,CNIC1,santa_ana,intermediate,2018-11-09T07:00:00,34.35325,-118.41858,36.330,0.8860,21.633,34.925,13.387,0.5955,-1.405,-22.943,
woolsey_2018,CSVC1,santa_ana,intermediate,2018-11-10T21:00:00,34.40818,-119.37124,7.160,0.6500,14.399,10.280,14.640,2.0110,3.120,7.480,
woolsey_2018,DLVC1,santa_ana,intermediate,2018-11-08T19:00:00,34.42972,-118.66712,35.310,1.5350,22.544,37.171,22.530,0.6385,1.861,-12.780,
woolsey_2018,MBCC1,santa_ana,intermediate,2018-11-12T20:00:00,34.08394,-118.70345,21.430,1.2610,15.958,24.615,18.026,0.7447,3.185,-3.404,
woolsey_2018,MBUC1,santa_ana,coupled,2018-11-09T04:00:00,34.06156,-118.64522,12.560,0.3140,22.957,28.969,11.145,1.8278,16.409,-1.415,
woolsey_2018,NHPC1,santa_ana,coupled,2018-11-08T19:00:00,34.33697,-118.52050,28.600,0.8930,28.745,33.478,22.873,1.0051,4.878,-5.727,
woolsey_2018,SAUC1,santa_ana,intermediate,2018-11-08T20:00:00,34.43501,-118.51318,37.590,1.3420,27.599,35.190,16.021,0.7342,-2.400,-21.569,
woolsey_2018,TCLC1,santa_ana,intermediate,2018-11-09T19:00:00,34.47394,-118.76156,37.500,3.1220,15.202,24.662,22.661,0.4054,-12.838,-14.839,
woolsey_2018,TPGC1,santa_ana,intermediate,2018-11-12T23:00:00,34.13624,-118.60600,21.860,0.8100,15.240,21.619,20.018,0.6972,-0.241,-1.842,
woolsey_2018,WMSC1,santa_ana,intermediate,2018-11-09T04:00:00,34.59583,-118.57861,39.320,0.8740,17.944,15.783,9.656,0.4564,-23.537,-29.664,
woolsey_2018,WTPC1,santa_ana,intermediate,2018-11-08T11:00:00,34.56938,-118.74019,18.590,0.5470,16.495,6.092,21.704,0.8873,-12.498,3.114,
camp_2018,SLEC1,diablo_offshore,coupled,2018-11-08T12:00:00,39.63614,-120.86399,28.470,0.8140,16.697,14.800,21.842,0.5865,-13.670,-6.628,
