event_id,stid,synoptic_regime,peak_dt_utc,offset_h,obs_sus_mph,hrrr_10m_mph,speed_err,bc_speed_old,bc_speed_aligned,bc_delta,bc_over_obs_old,bc_over_obs_aligned,bco_delta,cf_old,cf_aligned,bc_level,lat,lon
camp_2018,BNGC1,diablo_offshore,2018-11-08T18:51:00Z,1,5.99,6.32,0.33,32.28,35.46,+3.18,5.389,5.919,+0.530,0.1958,0.1782,850,39.38075,-121.38623
camp_2018,CBXC1,diablo_offshore,2018-11-08T17:27:00Z,0,28.99,25.37,-3.62,32.93,32.93,-0.00,1.136,1.136,-0.000,0.7704,0.7705,850,40.14564,-121.5225
camp_2018,CDEC1,diablo_offshore,2018-11-08T14:54:00Z,-3,14.99,18.41,3.42,37.73,30.16,-7.57,2.517,2.012,-0.505,0.4879,0.6105,850,40.06866,-121.584
camp_2018,CESC1,diablo_offshore,2018-11-08T18:02:00Z,1,11.01,12.14,1.13,15.89,17.15,+1.26,1.443,1.558,+0.115,0.7640,0.7078,850,40.29261,-121.24394
camp_2018,CICC1,diablo_offshore,2018-11-09T01:54:00Z,8,15.99,7.37,-8.62,32.79,20.03,-12.76,2.051,1.253,-0.798,0.2248,0.3679,850,39.58983,-121.63516
camp_2018,CSTC1,diablo_offshore,2018-11-07T22:51:00Z,-19,8.99,10.09,1.1,26.42,13.32,-13.10,2.939,1.481,-1.457,0.3819,0.7576,850,39.87184,-121.76898
camp_2018,HMRC1,diablo_offshore,2018-11-08T16:21:00Z,-1,13.0,23.62,10.62,23.99,22.84,-1.15,1.845,1.757,-0.088,0.9846,1.0340,850,40.10952,-121.3827
camp_2018,JBGC1,diablo_offshore,2018-11-08T12:13:00Z,-5,32.01,16.58,-15.43,38.39,25.62,-12.77,1.199,0.801,-0.399,0.4319,0.6470,850,39.73591,-121.48898
camp_2018,PKCC1,diablo_offshore,2018-11-08T12:10:00Z,-5,24.0,9.72,-14.28,43.79,31.79,-12.00,1.825,1.325,-0.500,0.2220,0.3058,850,39.47469,-121.20241
camp_2018,PSWC1,diablo_offshore,2018-11-09T10:21:00Z,17,4.0,21.06,17.06,36.90,11.25,-25.65,9.225,2.813,-6.412,0.5707,1.8718,850,40.24212,-121.77573
camp_2018,QYRC1,diablo_offshore,2018-11-08T22:15:00Z,5,2.01,3.53,1.52,16.92,13.75,-3.17,8.418,6.839,-1.579,0.2086,0.2568,850,39.97333,-120.94194
kincade_ign_2019,ATLC1,diablo_offshore_NW,2019-10-23T13:29:00Z,-19,12.01,7.17,-4.84,29.10,23.42,-5.68,2.423,1.950,-0.473,0.2464,0.3062,850,38.47485,-122.2648
kincade_ign_2019,COWC1,diablo_offshore_NW,2019-10-24T07:01:00Z,-1,28.99,20.36,-8.63,27.48,28.27,+0.79,0.948,0.975,+0.027,0.7409,0.7201,850,39.12583,-123.07333
kincade_ign_2019,HGLC1,diablo_offshore_NW,2019-10-24T14:36:00Z,6,15.99,4.76,-11.23,33.00,17.50,-15.50,2.064,1.095,-0.969,0.1442,0.2720,850,39.2089,-122.80999
kincade_ign_2019,HPDC1,diablo_offshore_NW,2019-10-24T09:15:00Z,1,28.99,21.36,-7.63,28.18,27.08,-1.10,0.972,0.934,-0.038,0.7580,0.7888,850,39.03083,-123.08056
kincade_ign_2019,HWKC1,diablo_offshore_NW,2019-10-24T11:56:00Z,3,31.0,35.13,4.13,23.42,24.25,+0.83,0.755,0.782,+0.027,1.5000,1.4485,850,38.73509,-122.83706
kincade_ign_2019,KELC1,diablo_offshore_NW,2019-10-24T12:57:00Z,4,12.01,8.56,-3.45,35.73,31.62,-4.11,2.975,2.632,-0.343,0.2396,0.2708,850,38.91189,-122.70631
kincade_ign_2019,KNXC1,diablo_offshore_NW,2019-10-24T05:09:00Z,-3,27.0,30.12,3.12,32.30,38.07,+5.77,1.196,1.410,+0.214,0.9325,0.7911,850,38.86194,-122.41722
kincade_ign_2019,OAAC1,diablo_offshore_NW,2019-10-24T08:33:00Z,0,15.99,17.29,1.3,17.13,17.13,+0.00,1.071,1.071,+0.000,1.0093,1.0093,850,38.73806,-123.30839
kincade_ign_2019,RSAC1,diablo_offshore_NW,2019-10-24T03:29:00Z,-5,17.0,5.98,-11.02,23.93,20.59,-3.34,1.408,1.211,-0.197,0.2499,0.2904,850,38.47848,-122.7118
kincade_ign_2019,WISC1,diablo_offshore_NW,2019-10-23T19:36:00Z,-13,23.0,23.39,0.39,32.12,27.98,-4.14,1.397,1.217,-0.180,0.7282,0.8359,850,39.01883,-122.41169
kincade_run_2019,ATLC1,diablo_offshore_NE,2019-10-27T08:29:00Z,-2,14.99,19.03,4.04,27.39,17.18,-10.21,1.827,1.146,-0.681,0.6948,1.1078,850,38.47485,-122.2648
kincade_run_2019,COWC1,diablo_offshore_NE,2019-10-27T10:01:00Z,0,28.01,17.72,-10.29,19.18,19.18,+0.00,0.685,0.685,+0.000,0.9239,0.9238,850,39.12583,-123.07333
kincade_run_2019,HGLC1,diablo_offshore_NE,2019-10-27T11:36:00Z,1,24.0,21.99,-2.01,29.74,39.02,+9.28,1.239,1.626,+0.387,0.7394,0.5635,850,39.2089,-122.80999
kincade_run_2019,HPDC1,diablo_offshore_NE,2019-10-27T09:15:00Z,-1,34.99,18.88,-16.11,17.08,12.09,-4.99,0.488,0.346,-0.142,1.1054,1.5611,850,39.03083,-123.08056
