 Jarbo Gap  California ,,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,mbar ,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery, Barom ,Av Fuel,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Press , Moistr, MxGust, Speed ,  Rad. 
11/7/18,0:00,17.78,4.023,41,11.11,9.444,19,12.9,M,4.6,45,8.047,0
11/7/18,1:00,17.78,4.47,47,10,8.889,20,12.9,M,4.6,42,6.706,0
11/7/18,2:00,17.78,4.47,47,10,8.889,20,12.8,M,4.6,47,8.494,0
11/7/18,3:00,17.78,4.47,55,9.444,8.333,20,12.8,M,4.5,43,8.494,0
11/7/18,4:00,17.78,4.917,43,9.444,8.333,21,12.8,M,4.6,35,8.941,0
11/7/18,5:00,17.78,4.917,44,8.889,7.778,22,12.7,M,4.6,24,8.494,0
11/7/18,6:00,17.78,4.47,49,7.778,6.667,23,12.7,M,4.6,38,7.6,0
11/7/18,7:00,17.78,4.917,47,8.333,7.222,23,12.8,M,4.6,39,7.153,6
11/7/18,8:00,17.78,4.023,46,8.889,8.889,23,13.4,M,4.7,41,7.6,23
11/7/18,9:00,17.78,4.47,46,11.11,12.22,21,14,M,4.8,38,7.153,130
11/7/18,10:00,17.78,3.576,45,12.78,15.56,19,13.6,M,4.9,39,7.153,430
11/7/18,11:00,17.78,2.682,46,15,17.22,17,13.9,M,5,31,4.47,522
11/7/18,12:00,17.78,0.8941,34,18.33,22.22,15,13.6,M,5.2,24,4.023,556
11/7/18,13:00,17.78,1.341,229,18.89,20,16,13.6,M,5.3,216,2.682,433
11/7/18,14:00,17.78,0.447,260,20.56,25.56,16,13.6,M,5,245,3.129,433
11/7/18,15:00,17.78,1.788,241,17.78,17.22,19,13.6,M,4.8,212,2.682,242
11/7/18,16:00,17.78,1.788,236,16.67,15.56,21,13.5,M,4.8,232,3.129,89
11/7/18,17:00,17.78,0,199,14.44,11.11,26,13.3,M,4.7,226,2.235,11
11/7/18,18:00,17.78,1.341,54,13.33,9.444,27,13.1,M,4.6,48,1.788,0
11/7/18,19:00,17.78,6.259,44,13.33,11.67,20,13,M,4.7,44,9.388,0
11/7/18,20:00,17.78,8.047,41,13.33,12.22,15,13,M,4.7,42,12.52,0
11/7/18,21:00,17.78,11.18,39,13.33,12.22,15,12.9,M,4.7,37,19.22,0
11/7/18,22:00,17.78,11.18,40,12.22,11.67,16,12.9,M,4.7,41,18.33,0
11/7/18,23:00,17.78,12.07,35,11.67,11.11,18,12.9,M,4.7,50,19.67,0
11/8/18,0:00,17.78,12.07,37,11.11,10.56,19,12.9,M,4.7,41,20.12,0
11/8/18,1:00,17.78,12.96,37,10.56,10,21,12.9,M,4.7,32,21.46,0
11/8/18,2:00,17.78,10.73,38,10,8.889,22,12.8,M,4.7,46,19.67,0
11/8/18,3:00,17.78,13.86,37,9.444,8.889,22,12.8,M,4.7,43,22.35,0
11/8/18,4:00,17.78,14.31,38,9.444,8.889,22,12.8,M,4.7,36,23.25,0
11/8/18,5:00,17.78,13.41,42,8.889,8.333,23,12.8,M,4.7,43,22.8,0
11/8/18,6:00,17.78,8.047,33,8.889,7.778,23,12.7,M,4.7,45,17.88,0
11/8/18,7:00,17.78,6.259,33,9.444,7.778,21,12.8,M,4.7,48,12.52,7
11/8/18,8:00,17.78,2.682,14,10.56,10.56,18,13.9,M,4.7,34,11.18,52
11/8/18,9:00,17.78,6.259,33,11.67,12.78,17,13.7,M,4.9,34,9.388,152
11/8/18,10:00,17.78,8.047,37,12.78,14.44,16,13.7,M,4.9,39,13.41,434
11/8/18,11:00,17.78,6.259,29,14.44,16.11,14,13.8,M,5,31,12.96,525
11/8/18,12:00,17.78,7.153,31,15.56,17.78,13,13.6,M,5,45,14.75,556
11/8/18,13:00,17.78,5.364,38,16.11,17.22,12,13.5,M,5.2,19,14.31,473
11/8/18,14:00,17.78,6.706,42,17.22,19.44,11,14.4,M,4.9,28,10.73,434
11/8/18,15:00,17.78,4.47,40,16.11,15.56,12,13.7,M,4.8,49,12.52,254
11/8/18,16:00,17.78,3.576,37,15.56,14.44,12,13.5,M,4.8,76,11.18,87
11/8/18,17:00,17.78,5.812,27,14.44,12.78,11,13.3,M,4.7,23,10.28,9
11/8/18,18:00,17.78,6.706,27,13.89,12.22,12,13.1,M,4.6,18,12.07,0
11/8/18,19:00,17.78,8.047,31,13.33,11.67,12,13,M,4.6,36,13.41,0
11/8/18,20:00,17.78,8.494,28,12.78,11.11,12,13,M,4.6,32,15.2,0
11/8/18,21:00,17.78,9.835,35,12.22,11.11,13,13,M,4.6,41,16.09,0
11/8/18,22:00,17.78,9.835,33,11.67,10.56,14,12.9,M,4.5,35,17.43,0
11/8/18,23:00,17.78,12.07,34,11.67,10.56,14,12.9,M,4.5,37,19.22,0
11/9/18,0:00,17.78,11.18,38,11.11,10.56,14,12.9,M,4.5,39,21.46,0
11/9/18,1:00,17.78,12.52,38,11.11,10.56,15,12.9,M,4.5,25,20.12,0
11/9/18,2:00,17.78,12.07,36,11.11,10.56,15,12.8,M,4.5,48,21.46,0
11/9/18,3:00,17.78,12.52,42,10.56,10,16,12.8,M,4.4,46,18.33,0
11/9/18,4:00,17.78,12.52,40,10,9.444,17,12.8,M,4.4,36,21.01,0
11/9/18,5:00,17.78,12.96,41,10,9.444,17,12.8,M,4.4,43,20.12,0
11/9/18,6:00,17.78,13.41,41,9.444,8.889,18,12.7,M,4.4,42,20.56,0
11/9/18,7:00,17.78,12.52,38,9.444,8.889,19,12.9,M,4.4,49,20.56,12
11/9/18,8:00,17.78,8.047,88,28.33,40.56,9,13,M,5.4,58,32.19,52
11/9/18,9:00,17.78,5.812,90,14.44,16.11,17,13.8,M,5.6,99,12.07,50
11/9/18,10:00,17.78,4.47,82,13.89,14.44,16,13.6,M,5.5,98,9.388,143
11/9/18,11:00,17.78,3.129,82,13.89,14.44,16,13.3,M,5.3,83,7.6,35
11/9/18,12:00,17.78,2.682,85,15.56,16.67,15,14.2,M,5.2,90,6.706,80
11/9/18,13:00,17.78,2.682,84,16.11,16.11,14,13.6,M,5.2,78,5.364,102
11/9/18,14:00,17.78,1.788,83,16.67,16.67,14,14,M,5.1,91,4.47,72
11/9/18,15:00,17.78,1.341,248,15.56,15,14,13.6,M,5,56,2.682,65
11/9/18,16:00,17.78,0.8941,234,15,13.89,14,13.3,M,4.9,252,1.788,23
11/9/18,17:00,17.78,0.8941,243,14.44,12.78,16,13.2,M,4.9,260,1.788,6
