 Openshaw  California ,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. 
11/7/18,0:00,1.27,2.235,62,7.778,5.556,44,13,4.5,55,3.129,0
11/7/18,1:00,1.27,2.235,52,9.444,6.667,37,13,4.7,47,2.682,0
11/7/18,2:00,1.27,1.788,61,9.444,6.667,34,13,4.9,63,3.576,0
11/7/18,3:00,1.27,0.8941,111,10,6.667,31,13,5,82,3.576,0
11/7/18,4:00,1.27,1.788,57,7.778,5,37,12.9,5.1,33,2.682,0
11/7/18,5:00,1.27,2.235,42,7.222,5,37,12.9,5.3,36,2.682,0
11/7/18,6:00,1.27,1.788,70,6.667,3.889,41,12.9,5.4,31,2.682,0
11/7/18,7:00,1.27,2.682,42,5,3.333,48,12.9,5.5,39,3.129,2
11/7/18,8:00,1.27,2.235,38,12.22,11.67,27,14,6,50,3.129,55
11/7/18,9:00,1.27,0.8941,59,17.78,20,17,13.6,6.1,26,3.129,227
11/7/18,10:00,1.27,1.788,204,18.89,22.78,19,13.6,6,210,3.129,369
11/7/18,11:00,1.27,3.129,292,19.44,24.44,19,13.6,5.4,288,4.917,477
11/7/18,12:00,1.27,2.235,292,21.11,26.67,16,13.4,5.3,295,4.47,536
11/7/18,13:00,1.27,2.235,259,22.22,28.33,17,13.4,4.8,280,4.47,525
11/7/18,14:00,1.27,1.788,267,22.78,28.33,18,13.4,4.7,267,4.47,486
11/7/18,15:00,1.27,1.788,290,22.78,27.22,18,13.4,4.4,293,3.576,384
11/7/18,16:00,1.27,1.341,234,22.78,24.44,17,13.4,4.3,285,3.129,242
11/7/18,17:00,1.27,2.682,144,18.89,17.22,24,13.4,4.3,142,3.129,81
11/7/18,18:00,1.27,1.341,141,16.11,13.33,25,13.3,4.2,164,3.576,1
11/7/18,19:00,1.27,2.235,35,11.11,8.889,33,13.2,4.1,58,3.576,0
11/7/18,20:00,1.27,2.682,5,11.11,8.889,37,13.1,4.4,0,4.47,0
11/7/18,21:00,1.27,2.235,35,11.11,8.889,35,13.1,4.2,13,4.023,0
11/7/18,22:00,1.27,2.235,13,9.444,6.667,32,13.1,4.8,354,4.023,0
11/7/18,23:00,1.27,3.576,356,9.444,7.778,29,13.1,4.7,339,4.917,0
11/8/18,0:00,1.27,1.788,339,8.889,6.111,26,13,4.9,344,4.023,0
11/8/18,1:00,1.27,2.682,316,10.56,7.778,22,13,5.1,323,4.023,0
11/8/18,2:00,1.27,3.576,310,10.56,8.889,23,13,5.2,314,5.364,0
11/8/18,3:00,1.27,1.788,275,8.889,6.667,27,12.9,5.1,309,5.812,0
11/8/18,4:00,1.27,3.129,314,10.56,8.889,23,12.9,5.1,289,5.812,0
11/8/18,5:00,1.27,0.447,48,8.889,6.111,27,12.9,5.3,301,5.812,0
11/8/18,6:00,1.27,2.235,17,10.56,6.667,25,12.9,5.5,16,4.47,0
11/8/18,7:00,1.27,3.129,304,9.444,8.333,26,12.9,5.3,345,6.706,2
11/8/18,8:00,1.27,2.682,315,12.22,11.67,21,14.3,5.4,293,5.812,54
11/8/18,9:00,1.27,4.917,320,12.22,13.89,21,13.7,5.5,302,8.494,233
11/8/18,10:00,1.27,5.364,315,14.44,16.67,18,13.7,5.4,308,10.28,372
11/8/18,11:00,1.27,5.364,308,16.11,19.44,18,13.6,5.3,307,10.28,471
11/8/18,12:00,1.27,6.706,310,18.33,22.22,15,13.5,5.1,319,11.62,530
11/8/18,13:00,1.27,5.364,323,20.56,24.44,13,13.5,4.8,320,12.52,512
11/8/18,14:00,1.27,5.812,324,20.56,23.89,13,13.4,4.7,307,10.28,460
11/8/18,15:00,1.27,5.812,325,20.56,22.22,12,13.5,4.6,327,9.388,348
11/8/18,16:00,1.27,3.576,325,19.44,20,13,13.6,4.4,327,9.388,214
11/8/18,17:00,1.27,5.812,32,20.56,18.89,9,13.3,4.5,29,8.494,62
11/8/18,18:00,1.27,7.153,44,20,18.33,8,13.3,4.3,37,9.835,1
11/8/18,19:00,1.27,5.812,39,18.89,17.22,9,13.2,4.3,45,8.941,0
11/8/18,20:00,1.27,5.812,34,17.22,16.11,10,13.2,4.2,45,9.835,0
11/8/18,21:00,1.27,5.364,31,16.67,15,10,13.1,4.1,33,8.494,0
11/8/18,22:00,1.27,4.917,19,16.11,14.44,10,13.1,4.1,27,8.494,0
11/8/18,23:00,1.27,5.364,26,17.22,15.56,9,13.1,4.1,26,9.835,0
11/9/18,0:00,1.27,3.576,318,15.56,14.44,11,13.1,3.8,32,7.6,0
11/9/18,1:00,1.27,1.341,3,11.11,8.333,17,13,3.8,338,6.706,0
11/9/18,2:00,1.27,0.447,187,5.556,2.222,32,13,3.8,71,1.788,0
11/9/18,3:00,1.27,1.341,349,6.667,1.667,25,13,3.8,325,2.235,0
11/9/18,4:00,1.27,1.788,31,4.444,1.667,33,12.9,3.7,15,2.682,0
11/9/18,5:00,1.27,1.788,348,7.778,4.444,23,12.9,3.8,347,3.129,0
11/9/18,6:00,1.27,3.576,18,11.11,6.667,20,12.9,4.1,26,5.812,0
