 Atlas Peak  California ,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. 
10/7/17,0:00,0,1.788,243,23.33,20,17,12.8,3.9,235,2.235,0
10/7/17,1:00,0,0,245,23.89,20.56,16,12.8,4.1,256,1.788,0
10/7/17,2:00,0,0,345,22.22,18.89,18,12.7,4.1,0,0,0
10/7/17,3:00,0,1.788,354,21.67,18.89,19,12.7,4.1,0,2.235,0
10/7/17,4:00,0,1.788,22,22.22,19.44,19,12.7,4.3,22,2.682,0
10/7/17,5:00,0,2.682,43,20.56,18.33,19,12.7,4.3,40,3.129,0
10/7/17,6:00,0,2.682,29,19.44,17.22,22,12.7,4.5,39,4.023,4
10/7/17,7:00,0,0.447,58,22.22,20,21,13.2,4.6,28,3.129,112
10/7/17,8:00,0,0,224,22.78,24.44,20,13.5,4.6,82,1.788,311
10/7/17,9:00,0,0.8941,299,24.44,28.89,20,13.5,4.5,242,2.235,499
10/7/17,10:00,0,1.788,36,25,30.56,22,13.4,4.3,24,3.129,646
10/7/17,11:00,0,1.788,44,27.22,34.44,20,13.3,3.9,20,3.129,738
10/7/17,12:00,0,4.023,242,28.89,36.67,17,13.3,3.7,251,7.6,769
10/7/17,13:00,0,4.47,223,30.56,37.78,15,13.2,3.3,261,7.6,743
10/7/17,14:00,0,6.259,228,29.44,36.67,16,13.2,3,220,8.941,652
10/7/17,15:00,0,6.706,202,28.33,33.89,17,13.3,3.1,236,8.941,508
10/7/17,16:00,0,6.259,217,26.67,30,19,13.3,3,194,8.941,329
10/7/17,17:00,0,6.706,237,24.44,25,24,13.6,3.3,193,9.388,131
10/7/17,18:00,0,4.47,255,22.22,21.11,28,13.3,3.6,242,7.153,5
10/7/17,19:00,0,2.682,262,21.67,19.44,31,13.1,4,253,4.47,0
10/7/17,20:00,0,3.576,262,19.44,17.78,35,13,4.3,251,4.47,0
10/7/17,21:00,0,3.129,262,18.33,16.67,44,12.9,4.7,260,5.364,0
10/7/17,22:00,0,2.682,265,17.22,15.56,46,12.9,5.2,272,4.47,0
10/7/17,23:00,0,2.682,352,19.44,17.22,36,12.8,5.8,336,4.023,0
10/8/17,0:00,0,1.788,323,18.33,16.67,39,12.8,6.1,326,5.812,0
10/8/17,1:00,0,1.788,32,17.22,15.56,43,12.7,6.3,342,4.47,0
10/8/17,2:00,0,2.235,26,17.22,15.56,45,12.7,6.8,32,3.576,0
10/8/17,3:00,0,2.682,34,16.67,15,43,12.7,7,21,5.364,0
10/8/17,4:00,0,1.788,68,16.11,14.44,39,12.7,7.1,48,5.812,0
10/8/17,5:00,0,2.235,48,16.11,14.44,36,12.7,7.1,12,7.153,0
10/8/17,6:00,0,2.682,49,16.67,14.44,35,12.7,7.3,23,5.812,4
10/8/17,7:00,0,2.235,4,18.33,16.67,29,13.2,7.2,345,5.364,109
10/8/17,8:00,0,3.576,359,18.33,20,29,13.6,7.2,21,6.259,312
10/8/17,9:00,0,3.129,18,20.56,23.33,23,14.4,6.4,1,8.941,504
10/8/17,10:00,0,4.47,12,21.67,25,21,13.5,6,9,9.388,661
10/8/17,11:00,0,4.023,28,23.33,28.89,14,13.5,5.3,0,9.388,759
10/8/17,12:00,0,4.47,20,23.33,28.89,13,13.5,4.7,353,10.28,796
10/8/17,13:00,0,4.47,31,23.33,28.89,13,13.4,4.2,6,8.494,773
10/8/17,14:00,0,4.47,30,23.33,28.33,14,13.4,3.9,50,9.388,684
10/8/17,15:00,0,3.576,11,22.78,27.22,14,13.4,3.6,336,8.941,537
10/8/17,16:00,0,2.235,5,21.67,24.44,15,13.5,3.5,36,8.047,352
10/8/17,17:00,0,3.576,344,19.44,19.44,16,13.6,3.5,347,7.153,143
10/8/17,18:00,0,4.023,0,17.78,16.67,16,13.3,3.7,347,8.494,5
10/8/17,19:00,0,5.812,1,18.33,16.67,16,13.2,3.7,336,11.62,0
10/8/17,20:00,0,4.917,29,17.78,16.67,15,13.1,3.7,25,14.31,0
10/8/17,21:00,0,5.812,21,16.67,15.56,17,13,3.7,26,13.41,0
10/8/17,22:00,0,5.812,14,16.67,15,16,12.9,3.9,8,12.52,0
10/8/17,23:00,0,7.6,7,16.11,15,15,12.8,3.9,19,13.86,0
10/9/17,0:00,0,6.259,18,15.56,14.44,16,12.8,3.9,349,14.31,0
10/9/17,1:00,0,6.259,15,15.56,14.44,16,12.7,3.9,353,12.96,0
10/9/17,2:00,0,6.259,29,15.56,13.89,16,12.7,3.9,10,13.41,0
10/9/17,3:00,0,6.706,27,15,13.89,16,12.7,3.9,24,15.2,0
10/9/17,4:00,0,5.812,4,15,13.33,16,12.7,4,15,14.31,0
10/9/17,5:00,0,4.023,20,14.44,12.78,17,12.7,4.1,26,11.18,0
10/9/17,6:00,0,3.129,27,13.89,12.22,17,12.7,4,2,8.494,3
10/9/17,7:00,0,3.576,46,16.11,15,16,13.3,4.1,23,8.941,101
10/9/17,8:00,0,3.129,54,18.33,18.89,15,14,4.3,9,8.494,305
10/9/17,9:00,0,3.576,62,20,22.22,14,13.6,4.2,24,9.388,500
