 Hawkeye California ,,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,mbar , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,  Fuel ,   Dir ,Mx Gust, Barom , Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage,Moistur, MxGust, Speed , Press ,  Rad. 
10/7/17,0:00,0,1.341,132,22.78,18.89,16,12.8,3.9,146,1.788,M,0
10/7/17,1:00,0,1.341,151,23.33,18.89,17,12.8,4,151,1.788,M,0
10/7/17,2:00,0,0,41,22.78,18.89,18,12.7,4,17,1.341,M,0
10/7/17,3:00,0,0.447,333,22.22,18.89,18,12.7,4.2,60,1.341,M,0
10/7/17,4:00,0,0,146,21.67,17.22,19,12.7,4.3,3,2.235,M,0
10/7/17,5:00,0,0,170,20.56,17.22,20,12.7,4.3,172,1.341,M,0
10/7/17,6:00,0,2.235,138,20.56,16.67,20,12.7,4.4,124,3.129,M,0
10/7/17,7:00,0,0,114,22.22,18.33,19,12.8,4.5,145,3.129,M,18
10/7/17,8:00,0,2.682,2,21.67,22.22,20,13.8,4.6,1,4.023,M,163
10/7/17,9:00,0,0.447,291,25,28.33,18,13.8,4.7,6,3.129,M,347
10/7/17,10:00,0,2.682,219,24.44,30,19,13.2,4.3,228,3.576,M,525
10/7/17,11:00,0,2.235,216,25,30.56,20,13.4,4.3,232,4.023,M,664
10/7/17,12:00,0,1.788,221,27.22,33.33,20,13.2,4,224,4.47,M,742
10/7/17,13:00,0,2.682,262,27.78,34.44,21,13.2,3.9,236,6.259,M,759
10/7/17,14:00,0,3.129,267,28.33,32.22,22,13.2,4,278,7.6,M,711
10/7/17,15:00,0,5.364,321,27.78,31.67,20,13.2,3.8,333,8.047,M,605
10/7/17,16:00,0,5.812,303,26.67,27.78,19,13.2,3.8,303,7.6,M,453
10/7/17,17:00,0,5.364,315,23.89,23.89,23,13.2,3.9,333,10.28,M,134
10/7/17,18:00,0,1.341,13,21.11,19.44,32,13.1,3.9,319,8.494,M,26
10/7/17,19:00,0,3.129,328,19.44,17.78,38,13,4.1,322,6.706,M,0
10/7/17,20:00,0,3.576,18,18.33,16.11,42,12.9,4.3,322,5.812,M,0
10/7/17,21:00,0,4.47,6,18.33,16.11,44,12.9,4.8,7,6.259,M,0
10/7/17,22:00,0,2.235,349,18.33,16.67,41,12.8,4.9,351,6.706,M,0
10/7/17,23:00,0,2.682,349,16.67,13.89,47,12.8,5.5,346,4.023,M,0
10/8/17,0:00,0,1.788,9,15.56,12.78,50,12.8,5.6,343,4.023,M,0
10/8/17,1:00,0,2.235,27,16.11,13.89,48,12.8,5.9,14,6.259,M,0
10/8/17,2:00,0,0.8941,109,19.44,15.56,29,12.8,6.2,21,6.259,M,0
10/8/17,3:00,0,2.682,13,16.11,13.89,39,12.7,6.1,20,3.576,M,0
10/8/17,4:00,0,2.682,16,18.89,15.56,29,12.7,6.3,8,4.917,M,0
10/8/17,5:00,0,0.447,29,19.44,15.56,26,12.7,6.3,2,4.023,M,0
10/8/17,6:00,0,0.447,301,18.33,15,27,12.7,6.5,4,2.235,M,0
10/8/17,7:00,0,1.341,178,18.89,16.11,28,12.8,6.4,212,2.682,M,17
10/8/17,8:00,0,0.447,220,20,20.56,29,13.8,6.4,157,2.235,M,164
10/8/17,9:00,0,1.788,178,21.11,23.33,28,13.5,6.2,174,3.576,M,354
10/8/17,10:00,0,1.341,198,20.56,26.11,34,13.4,6.1,195,3.576,M,531
10/8/17,11:00,0,2.235,216,21.11,27.22,31,13.3,5.8,193,4.917,M,668
10/8/17,12:00,0,4.47,115,24.44,30.56,15,13.3,5.6,166,8.047,M,751
10/8/17,13:00,0,4.023,26,25,32.22,11,13.3,4.9,7,7.153,M,773
10/8/17,14:00,0,5.812,24,25,28.33,8,13.2,4.6,24,10.73,M,733
10/8/17,15:00,0,5.364,26,23.89,27.78,7,13.3,4.2,359,11.62,M,628
10/8/17,16:00,0,4.023,21,23.33,24.44,8,13.4,3.9,9,12.52,M,471
10/8/17,17:00,0,6.259,35,21.11,20.56,11,13.3,3.9,21,13.86,M,131
10/8/17,18:00,0,8.941,24,20,18.89,14,13.2,3.8,13,18.33,M,26
10/8/17,19:00,0,15.65,21,19.44,18.89,15,13.1,3.8,11,26.38,M,0
10/8/17,20:00,0,11.62,31,18.89,18.33,14,13,3.8,36,28.61,M,0
10/8/17,21:00,0,13.41,33,18.89,17.78,13,12.9,3.8,26,27.72,M,0
10/8/17,22:00,0,18.78,36,18.33,17.78,11,12.9,3.8,63,32.19,M,0
10/8/17,23:00,0,21.46,33,17.78,17.22,12,12.9,3.8,46,35.32,M,0
10/9/17,0:00,0,16.99,38,17.22,16.67,13,12.8,3.8,37,33.98,M,0
10/9/17,1:00,0,19.22,44,17.22,16.11,12,12.8,3.8,30,32.63,M,0
10/9/17,2:00,0,20.12,48,17.22,16.11,12,12.8,3.8,59,29.95,M,0
10/9/17,3:00,0,16.09,53,17.22,16.11,12,12.8,3.8,47,29.06,M,0
10/9/17,4:00,0,4.023,49,16.67,15,12,12.7,3.7,51,24.59,M,0
10/9/17,5:00,0,2.235,188,16.11,13.89,13,12.7,3.8,55,16.99,M,0
10/9/17,6:00,0,0.447,34,15.56,12.22,13,12.7,3.7,209,3.576,M,0
10/9/17,7:00,0,0,332,16.11,12.22,13,12.8,3.8,301,1.788,M,17
10/9/17,8:00,0,4.023,37,18.33,18.89,11,13.5,3.8,59,13.41,M,158
10/9/17,9:00,0,6.706,54,20,21.67,10,13.4,3.8,43,11.62,M,341
