 Colby Mountain  California ,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. 
11/7/18,0:00,33.27,2.235,312,7.778,3.889,4,12.9,4.9,306,4.023,0
11/7/18,1:00,33.27,2.682,317,8.333,4.444,4,12.9,4.9,314,4.47,0
11/7/18,2:00,33.27,2.235,310,7.778,3.889,3,12.9,5,297,3.576,0
11/7/18,3:00,33.27,1.788,315,7.778,3.889,2,12.8,4.9,319,4.023,0
11/7/18,4:00,33.27,2.682,321,7.778,4.444,2,12.8,4.9,325,4.917,0
11/7/18,5:00,33.27,2.235,307,7.778,3.889,3,12.8,4.9,309,4.023,0
11/7/18,6:00,33.27,2.235,310,7.222,3.333,3,12.8,4.9,314,4.023,0
11/7/18,7:00,33.27,1.788,314,7.222,6.667,4,13.5,5.1,301,4.917,30
11/7/18,8:00,33.27,1.788,356,10.56,14.44,6,13.8,5.2,344,4.47,231
11/7/18,9:00,33.27,2.682,321,11.67,17.22,6,13.6,5.2,336,5.812,412
11/7/18,10:00,33.27,2.235,279,12.22,17.78,8,14,5.2,317,5.364,552
11/7/18,11:00,33.27,2.235,288,12.22,18.33,11,13.6,5,255,4.917,633
11/7/18,12:00,33.27,3.129,256,12.78,17.78,9,13.8,5.1,278,6.259,653
11/7/18,13:00,33.27,3.576,272,12.22,17.22,10,14.4,5,299,6.259,609
11/7/18,14:00,33.27,2.235,275,12.78,17.22,12,13.9,4.9,284,5.812,506
11/7/18,15:00,33.27,2.235,313,11.67,16.67,15,14,4.9,286,5.364,353
11/7/18,16:00,33.27,2.235,298,10,10.56,14,14.4,4.7,272,4.47,171
11/7/18,17:00,33.27,2.235,83,6.111,3.333,16,13.2,4.8,99,4.47,16
11/7/18,18:00,33.27,2.235,107,4.444,1.667,14,13.1,4.6,63,4.47,0
11/7/18,19:00,33.27,4.023,95,4.444,2.222,15,13.1,4.6,114,7.6,0
11/7/18,20:00,33.27,4.47,95,2.778,1.111,25,13,4.6,101,10.28,0
11/7/18,21:00,33.27,5.364,92,1.667,0,25,13,4.6,83,8.941,0
11/7/18,22:00,33.27,5.812,116,2.222,0.5556,26,13,4.6,84,10.73,0
11/7/18,23:00,33.27,4.47,106,1.111,-1.11,32,12.9,4.5,89,9.835,0
11/8/18,0:00,33.27,4.917,89,0,-1.666,39,12.9,4.5,91,12.52,0
11/8/18,1:00,33.27,8.941,65,0.5556,-0.5555,35,12.9,4.5,86,18.33,0
11/8/18,2:00,33.27,8.941,69,0,-1.11,38,12.8,4.5,76,20.12,0
11/8/18,3:00,33.27,9.835,67,-0.5555,-1.666,39,12.8,4.5,65,18.78,0
11/8/18,4:00,33.27,10.73,64,-1.11,-1.666,40,12.8,4.5,40,21.9,0
11/8/18,5:00,33.27,12.52,61,-1.11,-2.221,41,12.7,4.5,32,24.59,0
11/8/18,6:00,33.27,11.62,68,-0.5555,-1.11,30,12.7,4.6,64,22.8,0
11/8/18,7:00,33.27,12.07,68,0,0,26,13.4,4.6,65,25.93,30
11/8/18,8:00,33.27,11.18,69,1.667,2.778,21,14,4.6,75,22.8,235
11/8/18,9:00,33.27,12.96,71,3.889,5,16,14.4,4.7,84,26.38,417
11/8/18,10:00,33.27,11.18,68,4.444,6.667,19,14.2,4.8,72,23.25,560
11/8/18,11:00,33.27,7.153,66,5,8.333,20,14,4.9,57,21.9,642
11/8/18,12:00,33.27,7.153,70,6.667,9.444,17,14.2,4.9,64,19.22,660
11/8/18,13:00,33.27,8.494,65,7.222,10,16,13.8,4.9,30,20.56,616
11/8/18,14:00,33.27,8.941,65,6.667,9.444,16,14.1,5,63,16.09,513
11/8/18,15:00,33.27,7.153,64,6.667,9.444,14,14.2,5,45,20.12,360
11/8/18,16:00,33.27,5.364,68,5.556,5.556,14,13.8,5,27,17.43,174
11/8/18,17:00,33.27,5.364,77,4.444,2.222,15,13.2,5,49,11.62,15
11/8/18,18:00,33.27,7.153,80,4.444,2.778,13,13.1,5,66,13.41,0
11/8/18,19:00,33.27,6.259,99,3.889,2.222,14,13.1,4.9,93,16.54,0
11/8/18,20:00,33.27,4.47,116,3.333,1.111,14,13,4.9,74,14.75,0
11/8/18,21:00,33.27,5.364,114,3.889,1.667,12,13,5,126,11.62,0
11/8/18,22:00,33.27,6.259,99,5,2.778,10,13,4.9,108,11.62,0
11/8/18,23:00,33.27,5.812,89,4.444,2.778,11,13,4.9,78,12.07,0
11/9/18,0:00,33.27,5.812,92,2.778,1.111,15,12.9,4.9,91,9.388,0
11/9/18,1:00,33.27,6.706,95,5,2.778,10,12.9,5,99,11.18,0
11/9/18,2:00,33.27,5.364,100,5.556,3.333,9,12.9,5,94,11.62,0
11/9/18,3:00,33.27,5.364,109,5,2.778,11,12.8,4.9,96,9.835,0
11/9/18,4:00,33.27,5.364,97,5,3.333,10,12.8,4.9,87,9.388,0
11/9/18,5:00,33.27,4.917,105,3.889,1.667,13,12.8,4.9,86,9.388,0
11/9/18,6:00,33.27,4.023,109,3.889,1.111,13,12.8,4.9,113,7.6,0
