 Humbug Summit  California ,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,Av Fuel,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage, Moistr, MxGust, Speed ,  Rad. 
11/7/18,0:00,27.69,1.788,239,6.111,1.111,4,12.9,5.5,241,3.129,0
11/7/18,1:00,27.69,0.447,265,6.111,1.667,4,12.8,5.4,241,4.023,0
11/7/18,2:00,27.69,0.447,265,5.556,0,4,12.9,5.4,252,3.576,0
11/7/18,3:00,27.69,0.447,258,5.556,-0.5555,4,12.8,5.5,245,2.235,0
11/7/18,4:00,27.69,1.341,269,5.556,1.111,3,12.8,5.4,342,3.576,0
11/7/18,5:00,27.69,0.8941,257,5.556,1.111,3,12.8,5.4,312,3.129,0
11/7/18,6:00,27.69,0.8941,256,5.556,1.111,3,12.8,5.3,243,4.023,0
11/7/18,7:00,27.69,1.341,250,5,0.5556,3,12.8,5.4,233,4.023,7
11/7/18,8:00,27.69,1.341,246,7.222,3.889,5,13.1,5.6,243,3.576,45
11/7/18,9:00,27.69,1.788,274,10,13.33,5,14.4,5.7,266,6.259,327
11/7/18,10:00,27.69,1.341,296,11.11,15.56,5,14.4,5.7,249,5.364,493
11/7/18,11:00,27.69,2.682,254,11.11,16.11,6,13.7,5.6,235,7.153,600
11/7/18,12:00,27.69,3.129,233,11.11,16.11,8,14.2,5.5,240,8.047,645
11/7/18,13:00,27.69,2.682,238,11.11,16.11,7,14.3,5.4,236,6.706,631
11/7/18,14:00,27.69,2.682,240,10.56,16.11,10,14.4,5.3,215,6.259,551
11/7/18,15:00,27.69,0.8941,344,11.11,11.11,12,13.6,5.1,224,5.812,413
11/7/18,16:00,27.69,1.341,70,9.444,6.667,14,14,5,94,4.47,233
11/7/18,17:00,27.69,2.235,62,3.889,1.111,13,13.2,5,35,4.023,35
11/7/18,18:00,27.69,2.682,62,2.222,-0.5555,16,13.1,4.9,73,4.917,0
11/7/18,19:00,27.69,3.576,60,1.111,-1.666,22,13,4.9,45,5.812,0
11/7/18,20:00,27.69,3.576,61,-0.5555,-2.777,32,13,4.8,50,6.259,0
11/7/18,21:00,27.69,3.129,63,-1.666,-3.888,33,13,4.8,75,5.812,0
11/7/18,22:00,27.69,3.576,61,-2.777,-4.999,42,12.9,4.7,59,5.364,0
11/7/18,23:00,27.69,3.576,58,-3.332,-5.555,47,12.9,4.7,54,5.812,0
11/8/18,0:00,27.69,4.023,57,-3.332,-5.555,53,12.9,4.8,46,5.812,0
11/8/18,1:00,27.69,3.576,65,-3.888,-6.11,55,12.8,4.7,84,6.259,0
11/8/18,2:00,27.69,4.47,58,-4.443,-6.11,56,12.8,4.8,65,8.047,0
11/8/18,3:00,27.69,4.47,64,-4.999,-6.666,57,12.7,4.7,48,8.047,0
11/8/18,4:00,27.69,4.917,64,-4.999,-7.221,60,12.7,4.8,80,8.494,0
11/8/18,5:00,27.69,4.47,68,-5.555,-7.221,61,12.7,4.8,75,8.494,0
11/8/18,6:00,27.69,4.023,62,-6.11,-8.332,67,12.7,4.8,93,9.388,0
11/8/18,7:00,27.69,5.364,61,-5.555,-7.221,61,12.7,5,78,8.494,9
11/8/18,8:00,27.69,5.812,57,-3.332,-4.999,49,13.1,5.2,59,9.835,53
11/8/18,9:00,27.69,5.364,63,-1.11,1.111,41,14.6,5.5,87,11.18,327
11/8/18,10:00,27.69,5.812,63,0.5556,3.889,37,14,5.6,93,13.86,500
11/8/18,11:00,27.69,5.812,64,2.778,6.111,29,13.9,5.9,98,13.86,609
11/8/18,12:00,27.69,5.364,65,4.444,7.778,23,14,6,88,11.18,653
11/8/18,13:00,27.69,5.812,59,5.556,9.444,19,13.8,6.1,89,10.73,639
11/8/18,14:00,27.69,5.812,68,5,8.889,20,14.5,6,75,11.62,558
11/8/18,15:00,27.69,4.47,62,4.444,4.444,21,14.3,6,72,11.18,421
11/8/18,16:00,27.69,4.47,58,2.778,1.111,23,14.8,5.9,35,8.047,240
11/8/18,17:00,27.69,4.47,60,-0.5555,-2.221,31,13.2,5.8,41,7.6,32
11/8/18,18:00,27.69,4.023,63,-1.666,-3.888,35,13.1,5.7,57,7.6,0
11/8/18,19:00,27.69,4.023,59,-2.221,-4.443,37,13.1,5.7,51,6.259,0
11/8/18,20:00,27.69,3.129,63,-3.332,-5.555,41,13,5.6,67,6.259,0
11/8/18,21:00,27.69,3.129,60,-3.888,-6.11,46,13,5.6,52,5.364,0
11/8/18,22:00,27.69,2.682,61,-4.443,-7.221,46,13,5.6,50,4.023,0
11/8/18,23:00,27.69,3.129,58,-4.999,-7.777,48,12.9,5.6,58,5.364,0
11/9/18,0:00,27.69,3.576,56,-4.999,-7.777,48,12.9,5.7,47,4.917,0
11/9/18,1:00,27.69,3.129,53,-5.555,-8.888,50,12.8,5.7,63,4.917,0
11/9/18,2:00,27.69,2.682,50,-5.555,-8.888,44,12.8,5.7,53,3.576,0
11/9/18,3:00,27.69,2.682,55,-5.555,-8.332,42,12.8,5.8,54,4.917,0
11/9/18,4:00,27.69,2.682,55,-4.999,-8.332,41,12.7,5.9,44,4.47,0
