 Hawkeye California ,,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s ,mbar , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,  Fuel ,   Dir ,Mx Gust, Barom , Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage,Moistur, MxGust, Speed , Press ,  Rad. 
10/22/19,0:00,1.016,5.364,3,22.22,19.44,34,13,7,10,8.047,M,0
10/22/19,1:00,1.016,0.447,345,21.67,16.67,32,13,7,8,6.706,M,0
10/22/19,2:00,1.016,2.235,330,22.22,18.33,25,12.9,7.2,352,4.47,M,0
10/22/19,3:00,1.016,3.129,357,22.78,19.44,21,12.9,7.3,18,7.153,M,0
10/22/19,4:00,1.016,3.576,14,23.33,18.89,22,13,7.3,339,6.259,M,0
10/22/19,5:00,1.016,1.341,299,22.22,16.67,24,12.9,7.2,11,5.812,M,0
10/22/19,6:00,1.016,1.341,354,21.67,15.56,24,12.9,7.2,343,4.023,M,0
10/22/19,7:00,1.016,0.447,248,22.78,16.67,23,13,7.4,15,2.235,M,4
10/22/19,8:00,1.016,1.341,168,23.33,21.11,25,14.1,7.4,153,1.788,M,128
10/22/19,9:00,1.016,1.341,200,24.44,27.78,26,13.5,7.6,175,2.235,M,314
10/22/19,10:00,1.016,1.341,204,25,32.22,25,13.4,7.4,218,2.235,M,479
10/22/19,11:00,1.016,2.235,213,25,33.89,26,13.3,6.7,206,4.023,M,603
10/22/19,12:00,1.016,1.341,269,26.67,37.22,24,13.4,6.5,157,3.576,M,672
10/22/19,13:00,1.016,0.8941,281,28.33,40,20,13.3,5.3,167,3.576,M,679
10/22/19,14:00,1.016,2.235,237,28.89,37.22,19,13.3,5.7,229,4.023,M,625
10/22/19,15:00,1.016,2.235,230,29.44,35,21,13.2,5.4,207,5.364,M,514
10/22/19,16:00,1.016,4.023,215,28.89,31.67,22,13.2,5.6,218,6.259,M,347
10/22/19,17:00,1.016,0.8941,190,26.67,25.56,24,13.2,5.5,220,5.812,M,96
10/22/19,18:00,1.016,0,246,25,20.56,30,13.2,5.4,186,2.235,M,2
10/22/19,19:00,1.016,1.788,52,23.33,20,31,13.1,5.5,90,3.129,M,0
10/22/19,20:00,1.016,1.788,360,23.33,18.89,29,13.1,5.7,90,4.47,M,0
10/22/19,21:00,1.016,0.8941,137,23.33,17.78,26,13,6,350,3.576,M,0
10/22/19,22:00,1.016,0.447,351,22.78,17.22,24,13,5.9,151,2.235,M,0
10/22/19,23:00,1.016,0.8941,64,23.33,18.33,26,13,6,60,4.47,M,0
10/23/19,0:00,1.016,2.235,329,22.78,19.44,27,13,6.1,43,6.706,M,0
10/23/19,1:00,1.016,0.447,306,23.33,18.89,28,13,6.1,35,4.917,M,0
10/23/19,2:00,1.016,1.341,59,22.78,18.33,28,13,6.1,35,4.47,M,0
10/23/19,3:00,1.016,1.341,339,22.78,18.33,26,13,6.2,42,4.917,M,0
10/23/19,4:00,1.016,2.682,352,21.67,17.78,30,12.9,6.4,335,4.023,M,0
10/23/19,5:00,1.016,3.576,14,22.22,18.33,28,12.9,6.5,17,4.917,M,0
10/23/19,6:00,1.016,0.447,314,20.56,16.67,33,13,6.3,13,5.812,M,0
10/23/19,7:00,1.016,2.682,42,21.67,18.89,30,13,6.7,46,6.259,M,3
10/23/19,8:00,1.016,3.576,7,22.78,21.67,21,13.9,6.8,43,4.917,M,124
10/23/19,9:00,1.016,2.235,55,25,28.89,21,13.4,6.6,115,5.812,M,305
10/23/19,10:00,1.016,1.341,59,25.56,32.22,23,13.4,6.3,11,9.835,M,467
10/23/19,11:00,1.016,3.129,35,25.56,33.89,20,13.3,6.1,49,9.388,M,591
10/23/19,12:00,1.016,8.494,29,25,33.33,19,13.4,5.6,47,13.41,M,659
10/23/19,13:00,1.016,7.153,28,26.11,33.89,17,13.3,5,50,14.75,M,676
10/23/19,14:00,1.016,7.153,24,26.11,32.78,15,13.3,5.4,12,17.43,M,622
10/23/19,15:00,1.016,6.259,30,26.11,28.89,13,13.3,5.1,50,13.41,M,513
10/23/19,16:00,1.016,7.153,30,25.56,28.33,13,13.3,5.1,33,12.96,M,356
10/23/19,17:00,1.016,4.917,31,25,23.33,12,13.3,5,57,11.62,M,96
10/23/19,18:00,1.016,8.941,26,24.44,22.78,9,13.2,5,45,16.09,M,2
10/23/19,19:00,1.016,6.706,7,23.89,21.11,9,13.1,5,20,15.2,M,0
10/23/19,20:00,1.016,4.47,47,23.89,20.56,8,13.1,5,355,11.18,M,0
10/23/19,21:00,1.016,3.129,355,23.89,21.11,7,13.1,4.9,13,12.52,M,0
10/23/19,22:00,1.016,4.023,17,24.44,22.22,7,13,5.1,354,14.31,M,0
10/23/19,23:00,1.016,4.023,322,25.56,23.89,6,13,4.9,43,14.31,M,0
10/24/19,0:00,1.016,4.47,0,26.11,24.44,6,13,4.9,354,16.54,M,0
10/24/19,1:00,1.016,9.388,38,25,23.89,7,13,4.9,42,17.88,M,0
10/24/19,2:00,1.016,12.96,38,24.44,23.33,7,13,4.8,24,20.12,M,0
10/24/19,3:00,1.016,12.07,27,23.89,22.22,8,13,4.8,37,23.25,M,0
10/24/19,4:00,1.016,13.86,27,22.78,21.67,9,13,4.7,42,24.59,M,0
10/24/19,5:00,1.016,13.86,33,22.22,21.11,9,13,4.7,50,22.35,M,0
10/24/19,6:00,1.016,9.835,41,22.78,21.67,9,12.9,4.7,47,19.67,M,0
10/24/19,7:00,1.016,9.835,43,22.22,21.11,9,13,4.7,47,14.31,M,5
10/24/19,8:00,1.016,8.494,48,24.44,23.89,8,13.8,4.7,50,14.31,M,120
