 Santa Rosa California ,,,,,,,,,,,,
:          ,  LST  , mm  , m/s , Deg ,Deg C,Deg C,  %  ,volts,  %  , Deg , m/s , W/m2
:   Date   , Time  , Precip,  Wind , Wind  , Av Air,  Fuel ,  Rel  ,Battery,  Fuel ,   Dir ,Mx Gust, Solar 
:MM/DD/YYYY, hh:mm ,       ,  Speed, Direc ,  Temp ,  Temp ,Humidty,Voltage,Moistur, MxGust, Speed ,  Rad. 
10/7/17,0:00,0,0.8941,140,16.11,12.22,38,12.7,4.9,131,1.788,0
10/7/17,1:00,0,0.447,39,17.22,13.89,35,12.7,5.2,344,1.788,0
10/7/17,2:00,0,0.447,264,17.22,13.89,30,12.7,5.4,272,1.341,0
10/7/17,3:00,0,1.341,102,15,12.78,37,12.7,5.6,136,2.682,0
10/7/17,4:00,0,0.8941,128,15.56,12.78,31,12.7,5.6,138,2.682,0
10/7/17,5:00,0,0.8941,1,17.22,13.89,28,12.7,6,49,2.235,0
10/7/17,6:00,0,0.8941,19,16.11,13.33,33,12.7,6.1,338,2.235,2
10/7/17,7:00,0,0,223,17.22,17.22,32,13.7,6.1,42,2.235,91
10/7/17,8:00,0,0.447,55,19.44,22.78,35,13.5,6.5,53,2.235,251
10/7/17,9:00,0,0.8941,231,19.44,25,38,13.5,6.5,223,3.129,422
10/7/17,10:00,0,1.788,227,23.33,28.89,30,13.5,6.3,237,3.129,557
10/7/17,11:00,0,2.235,232,26.67,33.33,23,13.8,6.3,212,4.023,648
10/7/17,12:00,0,2.235,247,28.33,32.22,20,13.3,6,240,5.812,681
10/7/17,13:00,0,3.129,234,29.44,35,17,13.2,5.4,220,5.364,654
10/7/17,14:00,0,3.576,229,29.44,31.67,19,13.4,5.1,183,5.812,569
10/7/17,15:00,0,4.023,215,28.89,31.11,24,13.5,4.9,191,6.259,439
10/7/17,16:00,0,3.129,216,27.78,29.44,29,13.8,4.8,203,5.812,279
10/7/17,17:00,0,2.682,218,23.89,23.89,36,13,4.8,201,4.47,107
10/7/17,18:00,0,0.8941,320,21.11,18.33,43,12.9,4.9,206,2.682,4
10/7/17,19:00,0,3.129,321,21.11,20,39,12.9,4.9,347,5.812,0
10/7/17,20:00,0,4.47,340,20,18.33,45,12.9,5.3,335,7.153,0
10/7/17,21:00,0,2.682,341,18.33,17.22,52,12.8,5.5,340,8.047,0
10/7/17,22:00,0,2.235,341,16.67,15.56,59,12.8,5.8,327,6.259,0
10/7/17,23:00,0,0.8941,21,15.56,13.89,63,12.8,5.9,323,4.917,0
10/8/17,0:00,0,0.8941,44,14.44,13.33,64,12.8,6.4,317,4.917,0
10/8/17,1:00,0,1.341,12,14.44,12.78,64,12.7,6.7,346,4.47,0
10/8/17,2:00,0,2.235,355,13.89,12.22,62,12.7,7.1,344,5.812,0
10/8/17,3:00,0,1.788,12,13.33,12.22,61,12.7,7.4,342,6.259,0
10/8/17,4:00,0,0.8941,39,12.78,11.67,61,12.7,7.8,325,4.917,0
10/8/17,5:00,0,2.682,4,13.33,11.67,58,12.7,8.1,336,6.259,0
10/8/17,6:00,0,2.235,358,12.78,11.11,59,12.7,8.4,340,4.47,2
10/8/17,7:00,0,0.8941,303,15,15.56,52,13.7,8.5,343,4.917,84
10/8/17,8:00,0,0.8941,236,17.78,21.11,47,13.6,8.9,301,3.576,250
10/8/17,9:00,0,1.341,286,20.56,26.11,36,13.6,8.7,343,4.023,397
10/8/17,10:00,0,1.788,256,22.78,29.44,31,13.4,8,261,3.129,554
10/8/17,11:00,0,1.788,233,25,31.67,27,13.6,7.3,214,4.023,650
10/8/17,12:00,0,6.259,68,27.78,31.11,9,13.5,7.2,64,10.73,689
10/8/17,13:00,0,3.576,65,28.89,34.44,6,13.3,6,63,8.494,651
10/8/17,14:00,0,3.576,52,28.89,30,4,13.2,5.9,75,9.835,593
10/8/17,15:00,0,3.129,47,28.33,29.44,5,13.2,5.4,17,7.153,352
10/8/17,16:00,0,4.917,62,26.11,27.22,9,13.4,4.9,68,10.73,292
10/8/17,17:00,0,4.47,55,23.89,22.78,12,13,4.7,67,12.07,109
10/8/17,18:00,0,2.682,55,22.22,20.56,13,12.9,4.6,57,10.28,3
10/8/17,19:00,0,2.235,37,22.22,20,14,12.9,4.6,64,9.388,0
10/8/17,20:00,0,4.917,48,22.22,20.56,12,12.9,4.6,50,13.41,0
10/8/17,21:00,0,6.706,52,21.67,20.56,11,12.8,4.6,80,18.33,0
10/8/17,22:00,0,6.259,41,21.67,20.56,11,12.8,4.5,102,17.88,0
10/8/17,23:00,0,10.73,58,21.11,20.56,11,12.8,4.5,69,22.8,0
10/9/17,0:00,0,10.73,59,21.11,20.56,11,12.8,4.4,75,23.69,0
10/9/17,1:00,0,11.62,64,21.11,20.56,11,12.8,4.5,89,25.93,0
10/9/17,2:00,0,8.047,58,23.33,22.78,10,12.7,4.4,75,21.46,0
10/9/17,3:00,0,11.62,80,32.78,50,7,12.7,12.8,95,27.27,0
10/9/17,4:00,0,3.576,218,21.11,26.67,12,12.8,8.5,74,30.4,0
10/9/17,5:00,0,2.235,277,21.67,21.67,12,12.8,7.8,300,8.941,0
10/9/17,6:00,0,6.706,57,21.67,21.11,11,12.8,7.1,59,12.96,0
10/9/17,7:00,0,5.812,48,21.11,20.56,11,12.8,6.7,65,17.43,19
10/9/17,8:00,0,5.812,66,21.67,21.11,11,12.8,6.5,51,13.41,32
10/9/17,9:00,0,1.788,201,21.67,21.67,12,13.1,6.2,78,10.73,57
10/9/17,10:00,0,4.023,200,21.11,23.33,15,13.4,6.2,197,5.812,158
10/9/17,11:00,0,4.023,215,21.67,23.33,13,13.5,6,217,6.706,236
10/9/17,12:00,0,4.47,216,22.22,25,14,13.4,5.9,234,6.706,234
10/9/17,13:00,0,3.576,212,23.33,26.67,14,13.4,5.9,199,6.259,298
10/9/17,14:00,0,2.235,222,23.89,25.56,14,13.4,5.6,227,6.259,227
10/9/17,15:00,0,2.682,282,23.33,23.89,16,13.4,5.4,242,6.259,116
10/9/17,16:00,0,3.576,241,21.67,21.67,17,13.1,5.3,257,5.364,47
10/9/17,17:00,0,2.682,250,20.56,19.44,18,12.9,5.1,250,5.364,19
10/9/17,18:00,0,1.788,331,18.89,17.22,23,12.9,5.1,244,3.576,1
10/9/17,19:00,0,1.341,212,18.33,16.67,25,12.9,5.1,201,3.129,0
10/9/17,20:00,0,1.341,60,18.33,16.11,26,12.9,5.1,204,3.129,0
10/9/17,21:00,0,1.341,116,19.44,17.22,28,12.8,5.1,77,1.788,0
10/9/17,22:00,0,1.341,87,17.78,15.56,30,12.8,5.2,167,1.788,0
10/9/17,23:00,0,0.8941,99,18.33,16.11,33,12.8,5.3,94,2.235,0
10/10/17,0:00,0,1.341,92,15,13.89,39,12.8,5.2,90,2.235,0
10/10/17,1:00,0,0.8941,84,17.78,15.56,35,12.8,5.4,87,3.129,0
10/10/17,2:00,0,0.447,92,16.67,14.44,40,12.8,5.3,88,2.235,0
10/10/17,3:00,0,0.8941,59,17.22,14.44,39,12.7,5.4,67,1.788,0
10/10/17,4:00,0,0.8941,234,14.44,12.78,43,12.7,5.5,222,1.341,0
10/10/17,5:00,0,0.447,206,14.44,12.78,42,12.7,5.6,240,1.788,0
10/10/17,6:00,0,0.8941,233,14.44,12.78,43,12.7,5.7,233,0.8941,1
10/10/17,7:00,0,0,72,14.44,13.89,45,12.8,5.8,73,1.341,29
10/10/17,8:00,0,0.8941,206,13.89,15,49,13.2,5.9,44,1.788,80
10/10/17,9:00,0,0.8941,82,16.11,17.78,44,13.7,6.3,75,1.341,141
10/10/17,10:00,0,1.341,244,17.22,21.11,40,13.5,6.4,253,2.235,240
10/10/17,11:00,0,1.341,190,21.11,25,28,13.4,6.5,208,2.682,352
10/10/17,12:00,0,2.235,240,23.33,29.44,26,13.7,6.5,220,3.576,433
10/10/17,13:00,0,3.576,251,24.44,29.44,23,13.4,6.2,242,5.364,418
10/10/17,14:00,0,4.023,221,25,28.89,22,13.4,5.9,222,6.706,323
10/10/17,15:00,0,4.47,238,23.89,27.22,22,13.3,5.8,223,6.706,229
10/10/17,16:00,0,3.129,208,22.78,25.56,25,13.3,5.5,238,6.259,176
10/10/17,17:00,0,1.788,177,20.56,20.56,33,13,5.3,200,5.364,67
10/10/17,18:00,0,1.788,185,18.33,16.67,41,12.9,5.2,180,2.235,2
10/10/17,19:00,0,1.788,179,15,14.44,56,12.9,5.2,217,3.129,0
10/10/17,20:00,0,1.341,148,13.33,12.22,67,12.9,5.3,174,2.682,0
10/10/17,21:00,0,0.8941,251,13.33,11.67,62,12.9,5.4,174,2.682,0
